customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt^|^cust_segment_cd
45189104^|^1^|^1^|^1^|^1^|^0^|^IND^|^1130541263^|^13013432^|^9123474^|^20161221^|^T12^|^T1235^|^T1236^|^T1237^|^30541233^|^60^|^1214589^|^60^|^60^|^110^|^20180806^|^20201230^|^1461200001309003249109397810606953^|^I^|^rg^|^MMO^|^20090304^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189105^|^1^|^0^|^0^|^0^|^1^|^ORG^|^1130541264^|^13013433^|^9123475^|^20161114^|^T12^|^T1235^|^T1236^|^T1237^|^30541234^|^61^|^1214590^|^61^|^61^|^111^|^20180120^|^20201230^|^1461200001309003249109397810606954^|^B^|^rg^|^MMC^|^20030301^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189106^|^1^|^1^|^1^|^1^|^1^|^ORG^|^1130541265^|^13013434^|^9123476^|^20160703^|^T12^|^T1235^|^T1236^|^T1237^|^30541235^|^62^|^1214591^|^62^|^62^|^112^|^20181013^|^20201230^|^1461200001309003249109397810606955^|^B^|^rg^|^MMC^|^19910112^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189107^|^0^|^1^|^0^|^1^|^0^|^IND^|^1130541266^|^13013435^|^9123477^|^20170527^|^T12^|^T1235^|^T1236^|^T1237^|^30541236^|^63^|^1214592^|^63^|^63^|^113^|^20180130^|^20201230^|^1461200001309003249109397810606956^|^RG^|^rg^|^MMC^|^20061002^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189108^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541267^|^13013436^|^9123478^|^20160606^|^T12^|^T1235^|^T1236^|^T1237^|^30541237^|^64^|^1214593^|^64^|^64^|^114^|^20181122^|^20201230^|^1461200001309003249109397810606957^|^B^|^rg^|^MMO^|^19950810^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189109^|^1^|^1^|^1^|^0^|^0^|^ORG^|^1130541268^|^13013437^|^9123479^|^20161002^|^T12^|^T1235^|^T1236^|^T1237^|^30541238^|^65^|^1214594^|^65^|^65^|^115^|^20180319^|^20201230^|^1461200001309003249109397810606958^|^B^|^rg^|^MMC^|^19971106^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189110^|^0^|^0^|^0^|^0^|^0^|^IND^|^1130541269^|^13013438^|^9123480^|^20161218^|^T12^|^T1235^|^T1236^|^T1237^|^30541239^|^66^|^1214595^|^66^|^66^|^116^|^20180524^|^20201230^|^1461200001309003249109397810606959^|^RG^|^rg^|^MMO^|^20010309^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189111^|^1^|^1^|^1^|^1^|^1^|^IND^|^1130541270^|^13013439^|^9123481^|^20170519^|^T12^|^T1235^|^T1236^|^T1237^|^30541240^|^67^|^1214596^|^67^|^67^|^117^|^20181013^|^20201230^|^1461200001309003249109397810606960^|^RG^|^rg^|^MMC^|^20080131^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
45189112^|^1^|^1^|^0^|^1^|^0^|^ORG^|^1130541271^|^13013440^|^9123482^|^20161101^|^T12^|^T1235^|^T1236^|^T1237^|^30541241^|^68^|^1214597^|^68^|^68^|^118^|^20180807^|^20201230^|^1461200001309003249109397810606961^|^RG^|^rg^|^MMO^|^19930505^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189113^|^0^|^0^|^0^|^0^|^0^|^ORG^|^1130541272^|^13013441^|^9123483^|^20170308^|^T12^|^T1235^|^T1236^|^T1237^|^30541242^|^69^|^1214598^|^69^|^69^|^119^|^20181104^|^20201230^|^1461200001309003249109397810606962^|^B^|^rg^|^MMC^|^19871016^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189114^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541273^|^13013442^|^9123484^|^20160627^|^T12^|^T1235^|^T1236^|^T1237^|^30541243^|^70^|^1214599^|^70^|^70^|^120^|^20180204^|^20201230^|^1461200001309003249109397810606963^|^B^|^rg^|^MMC^|^19940228^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189115^|^0^|^0^|^0^|^0^|^0^|^ORG^|^1130541274^|^13013443^|^9123485^|^20160807^|^T12^|^T1235^|^T1236^|^T1237^|^30541244^|^71^|^1214600^|^71^|^71^|^121^|^20180613^|^20201230^|^1461200001309003249109397810606964^|^I^|^rg^|^MMC^|^19961010^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189116^|^1^|^1^|^1^|^0^|^1^|^IND^|^1130541275^|^13013444^|^9123486^|^20160902^|^T12^|^T1235^|^T1236^|^T1237^|^30541245^|^72^|^1214601^|^72^|^72^|^122^|^20181203^|^20201230^|^1461200001309003249109397810606965^|^RG^|^rg^|^MMC^|^19820919^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189117^|^0^|^1^|^0^|^0^|^0^|^IND^|^1130541276^|^13013445^|^9123487^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541246^|^73^|^1214602^|^73^|^73^|^123^|^20181119^|^20201230^|^1461200001309003249109397810606966^|^B^|^rg^|^MMC^|^19900425^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189118^|^0^|^0^|^0^|^1^|^1^|^ORG^|^1130541277^|^13013446^|^9123488^|^20160523^|^T12^|^T1235^|^T1236^|^T1237^|^30541247^|^74^|^1214603^|^74^|^74^|^124^|^20180419^|^20201230^|^1461200001309003249109397810606967^|^RG^|^rg^|^MMO^|^20000801^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189119^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541278^|^13013447^|^9123489^|^20160915^|^T12^|^T1235^|^T1236^|^T1237^|^30541248^|^75^|^1214604^|^75^|^75^|^125^|^20180307^|^20201230^|^1461200001309003249109397810606968^|^B^|^rg^|^MMC^|^19890217^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189120^|^0^|^1^|^1^|^0^|^1^|^IND^|^1130541279^|^13013448^|^9123490^|^20170606^|^T12^|^T1235^|^T1236^|^T1237^|^30541249^|^76^|^1214605^|^76^|^76^|^126^|^20180324^|^20201230^|^1461200001309003249109397810606969^|^I^|^rg^|^MMC^|^19821206^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189121^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541280^|^13013449^|^9123491^|^20160618^|^T12^|^T1235^|^T1236^|^T1237^|^30541250^|^77^|^1214606^|^77^|^77^|^127^|^20180430^|^20201230^|^1461200001309003249109397810606970^|^RG^|^rg^|^MMC^|^19891214^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189122^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541281^|^13013450^|^9123492^|^20160406^|^T12^|^T1235^|^T1236^|^T1237^|^30541251^|^78^|^1214607^|^78^|^78^|^128^|^20181025^|^20201230^|^1461200001309003249109397810606971^|^RG^|^rg^|^MMO^|^19950507^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189123^|^1^|^0^|^1^|^0^|^1^|^IND^|^1130541282^|^13013451^|^9123493^|^20161114^|^T12^|^T1235^|^T1236^|^T1237^|^30541252^|^79^|^1214608^|^79^|^79^|^129^|^20180510^|^20201230^|^1461200001309003249109397810606972^|^I^|^rg^|^MMO^|^19860424^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189124^|^0^|^1^|^1^|^1^|^0^|^IND^|^1130541283^|^13013452^|^9123494^|^20170722^|^T12^|^T1235^|^T1236^|^T1237^|^30541253^|^80^|^1214609^|^80^|^80^|^130^|^20180726^|^20201230^|^1461200001309003249109397810606973^|^B^|^rg^|^MMO^|^19810102^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
45189125^|^1^|^0^|^0^|^1^|^1^|^ORG^|^1130541284^|^13013453^|^9123495^|^20160824^|^T12^|^T1235^|^T1236^|^T1237^|^30541254^|^81^|^1214610^|^81^|^81^|^131^|^20180815^|^20201230^|^1461200001309003249109397810606974^|^B^|^rg^|^MMO^|^19921201^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189126^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541285^|^13013454^|^9123496^|^20160624^|^T12^|^T1235^|^T1236^|^T1237^|^30541255^|^82^|^1214611^|^82^|^82^|^132^|^20180204^|^20201230^|^1461200001309003249109397810606975^|^I^|^rg^|^MMC^|^20020116^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189127^|^0^|^0^|^0^|^0^|^0^|^IND^|^1130541286^|^13013455^|^9123497^|^20170516^|^T12^|^T1235^|^T1236^|^T1237^|^30541256^|^83^|^1214612^|^83^|^83^|^133^|^20181016^|^20201230^|^1461200001309003249109397810606976^|^I^|^rg^|^MMO^|^19890226^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189128^|^1^|^0^|^0^|^1^|^0^|^IND^|^1130541287^|^13013456^|^9123498^|^20161019^|^T12^|^T1235^|^T1236^|^T1237^|^30541257^|^84^|^1214613^|^84^|^84^|^134^|^20180416^|^20201230^|^1461200001309003249109397810606977^|^I^|^rg^|^MMO^|^19860807^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189129^|^1^|^1^|^0^|^0^|^0^|^IND^|^1130541288^|^13013457^|^9123499^|^20170215^|^T12^|^T1235^|^T1236^|^T1237^|^30541258^|^85^|^1214614^|^85^|^85^|^135^|^20180409^|^20201230^|^1461200001309003249109397810606978^|^I^|^rg^|^MMO^|^20061010^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189130^|^1^|^0^|^1^|^0^|^1^|^ORG^|^1130541289^|^13013458^|^9123500^|^20160725^|^T12^|^T1235^|^T1236^|^T1237^|^30541259^|^86^|^1214615^|^86^|^86^|^136^|^20180131^|^20201230^|^1461200001309003249109397810606979^|^I^|^rg^|^MMC^|^19840227^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189131^|^1^|^0^|^1^|^0^|^0^|^ORG^|^1130541290^|^13013459^|^9123501^|^20160916^|^T12^|^T1235^|^T1236^|^T1237^|^30541260^|^87^|^1214616^|^87^|^87^|^137^|^20180611^|^20201230^|^1461200001309003249109397810606980^|^RG^|^rg^|^MMO^|^19911008^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189132^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541291^|^13013460^|^9123502^|^20170107^|^T12^|^T1235^|^T1236^|^T1237^|^30541261^|^88^|^1214617^|^88^|^88^|^138^|^20181115^|^20201230^|^1461200001309003249109397810606981^|^B^|^rg^|^MMC^|^19891126^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189133^|^1^|^1^|^0^|^0^|^0^|^IND^|^1130541292^|^13013461^|^9123503^|^20160926^|^T12^|^T1235^|^T1236^|^T1237^|^30541262^|^89^|^1214618^|^89^|^89^|^139^|^20181128^|^20201230^|^1461200001309003249109397810606982^|^RG^|^rg^|^MMO^|^19890103^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189134^|^0^|^1^|^1^|^0^|^0^|^ORG^|^1130541293^|^13013462^|^9123504^|^20170309^|^T12^|^T1235^|^T1236^|^T1237^|^30541263^|^90^|^1214619^|^90^|^90^|^140^|^20180420^|^20201230^|^1461200001309003249109397810606983^|^B^|^rg^|^MMC^|^20071004^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189135^|^0^|^1^|^1^|^0^|^0^|^ORG^|^1130541294^|^13013463^|^9123505^|^20160501^|^T12^|^T1235^|^T1236^|^T1237^|^30541264^|^91^|^1214620^|^91^|^91^|^141^|^20180414^|^20201230^|^1461200001309003249109397810606984^|^B^|^rg^|^MMC^|^20040325^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189136^|^0^|^1^|^1^|^1^|^1^|^IND^|^1130541295^|^13013464^|^9123506^|^20170309^|^T12^|^T1235^|^T1236^|^T1237^|^30541265^|^92^|^1214621^|^92^|^92^|^142^|^20180724^|^20201230^|^1461200001309003249109397810606985^|^B^|^rg^|^MMC^|^19950919^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189137^|^1^|^0^|^0^|^0^|^1^|^ORG^|^1130541296^|^13013465^|^9123507^|^20160717^|^T12^|^T1235^|^T1236^|^T1237^|^30541266^|^93^|^1214622^|^93^|^93^|^143^|^20180122^|^20201230^|^1461200001309003249109397810606986^|^RG^|^rg^|^MMC^|^19900725^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189138^|^1^|^0^|^0^|^0^|^0^|^IND^|^1130541297^|^13013466^|^9123508^|^20170123^|^T12^|^T1235^|^T1236^|^T1237^|^30541267^|^94^|^1214623^|^94^|^94^|^144^|^20180420^|^20201230^|^1461200001309003249109397810606987^|^RG^|^rg^|^MMC^|^20030515^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189139^|^1^|^0^|^0^|^1^|^0^|^ORG^|^1130541298^|^13013467^|^9123509^|^20170102^|^T12^|^T1235^|^T1236^|^T1237^|^30541268^|^95^|^1214624^|^95^|^95^|^145^|^20180530^|^20201230^|^1461200001309003249109397810606988^|^I^|^rg^|^MMC^|^20070724^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189140^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541299^|^13013468^|^9123510^|^20161109^|^T12^|^T1235^|^T1236^|^T1237^|^30541269^|^96^|^1214625^|^96^|^96^|^146^|^20180108^|^20201230^|^1461200001309003249109397810606989^|^RG^|^rg^|^MMO^|^19840222^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189141^|^0^|^0^|^0^|^0^|^0^|^IND^|^1130541300^|^13013469^|^9123511^|^20170605^|^T12^|^T1235^|^T1236^|^T1237^|^30541270^|^97^|^1214626^|^97^|^97^|^147^|^20180213^|^20201230^|^1461200001309003249109397810606990^|^B^|^rg^|^MMO^|^20110125^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
45189142^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541301^|^13013470^|^9123512^|^20170527^|^T12^|^T1235^|^T1236^|^T1237^|^30541271^|^98^|^1214627^|^98^|^98^|^148^|^20180704^|^20201230^|^1461200001309003249109397810606991^|^RG^|^rg^|^MMC^|^19960406^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189143^|^1^|^0^|^0^|^1^|^0^|^IND^|^1130541302^|^13013471^|^9123513^|^20160820^|^T12^|^T1235^|^T1236^|^T1237^|^30541272^|^99^|^1214628^|^99^|^99^|^149^|^20181214^|^20201230^|^1461200001309003249109397810606992^|^RG^|^rg^|^MMC^|^19820806^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189144^|^1^|^1^|^0^|^0^|^0^|^IND^|^1130541303^|^13013472^|^9123514^|^20170526^|^T12^|^T1235^|^T1236^|^T1237^|^30541273^|^100^|^1214629^|^100^|^100^|^150^|^20180409^|^20201230^|^1461200001309003249109397810606993^|^RG^|^rg^|^MMO^|^19891218^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189145^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541304^|^13013473^|^9123515^|^20161020^|^T12^|^T1235^|^T1236^|^T1237^|^30541274^|^101^|^1214630^|^101^|^101^|^151^|^20180807^|^20201230^|^1461200001309003249109397810606994^|^B^|^rg^|^MMC^|^19921226^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189146^|^0^|^0^|^1^|^0^|^1^|^ORG^|^1130541305^|^13013474^|^9123516^|^20160917^|^T12^|^T1235^|^T1236^|^T1237^|^30541275^|^102^|^1214631^|^102^|^102^|^152^|^20180904^|^20201230^|^1461200001309003249109397810606995^|^B^|^rg^|^MMC^|^19820912^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189147^|^0^|^1^|^0^|^0^|^0^|^ORG^|^1130541306^|^13013475^|^9123517^|^20160427^|^T12^|^T1235^|^T1236^|^T1237^|^30541276^|^103^|^1214632^|^103^|^103^|^153^|^20180522^|^20201230^|^1461200001309003249109397810606996^|^I^|^rg^|^MMC^|^19930908^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189148^|^0^|^1^|^1^|^0^|^1^|^IND^|^1130541307^|^13013476^|^9123518^|^20170511^|^T12^|^T1235^|^T1236^|^T1237^|^30541277^|^104^|^1214633^|^104^|^104^|^154^|^20180823^|^20201230^|^1461200001309003249109397810606997^|^I^|^rg^|^MMC^|^19811204^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189149^|^1^|^0^|^0^|^1^|^1^|^ORG^|^1130541308^|^13013477^|^9123519^|^20160602^|^T12^|^T1235^|^T1236^|^T1237^|^30541278^|^105^|^1214634^|^105^|^105^|^155^|^20181226^|^20201230^|^1461200001309003249109397810606998^|^RG^|^rg^|^MMO^|^20021220^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189150^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541309^|^13013478^|^9123520^|^20170225^|^T12^|^T1235^|^T1236^|^T1237^|^30541279^|^106^|^1214635^|^106^|^106^|^156^|^20180209^|^20201230^|^1461200001309003249109397810606999^|^RG^|^rg^|^MMO^|^19900319^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189151^|^0^|^0^|^0^|^1^|^1^|^ORG^|^1130541310^|^13013479^|^9123521^|^20170301^|^T12^|^T1235^|^T1236^|^T1237^|^30541280^|^107^|^1214636^|^107^|^107^|^157^|^20181124^|^20201230^|^1461200001309003249109397810607000^|^I^|^rg^|^MMC^|^19840614^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189152^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541311^|^13013480^|^9123522^|^20170718^|^T12^|^T1235^|^T1236^|^T1237^|^30541281^|^108^|^1214637^|^108^|^108^|^158^|^20180131^|^20201230^|^1461200001309003249109397810607001^|^RG^|^rg^|^MMC^|^20101028^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189153^|^1^|^0^|^0^|^0^|^0^|^IND^|^1130541312^|^13013481^|^9123523^|^20170521^|^T12^|^T1235^|^T1236^|^T1237^|^30541282^|^109^|^1214638^|^109^|^109^|^159^|^20180510^|^20201230^|^1461200001309003249109397810607002^|^RG^|^rg^|^MMO^|^19811123^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189154^|^1^|^0^|^0^|^1^|^1^|^IND^|^1130541313^|^13013482^|^9123524^|^20170713^|^T12^|^T1235^|^T1236^|^T1237^|^30541283^|^110^|^1214639^|^110^|^110^|^160^|^20180109^|^20201230^|^1461200001309003249109397810607003^|^B^|^rg^|^MMC^|^19890105^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189155^|^0^|^1^|^1^|^1^|^0^|^ORG^|^1130541314^|^13013483^|^9123525^|^20160917^|^T12^|^T1235^|^T1236^|^T1237^|^30541284^|^111^|^1214640^|^111^|^111^|^161^|^20180723^|^20201230^|^1461200001309003249109397810607004^|^B^|^rg^|^MMO^|^19970407^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189156^|^0^|^1^|^0^|^0^|^0^|^ORG^|^1130541315^|^13013484^|^9123526^|^20161110^|^T12^|^T1235^|^T1236^|^T1237^|^30541285^|^112^|^1214641^|^112^|^112^|^162^|^20180908^|^20201230^|^1461200001309003249109397810607005^|^RG^|^rg^|^MMC^|^19910815^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189157^|^0^|^1^|^1^|^1^|^0^|^IND^|^1130541316^|^13013485^|^9123527^|^20161211^|^T12^|^T1235^|^T1236^|^T1237^|^30541286^|^113^|^1214642^|^113^|^113^|^163^|^20181227^|^20201230^|^1461200001309003249109397810607006^|^B^|^rg^|^MMC^|^20070122^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR
45189158^|^1^|^1^|^1^|^1^|^1^|^ORG^|^1130541317^|^13013486^|^9123528^|^20160518^|^T12^|^T1235^|^T1236^|^T1237^|^30541287^|^114^|^1214643^|^114^|^114^|^164^|^20181230^|^20201230^|^1461200001309003249109397810607007^|^B^|^rg^|^MMO^|^20020812^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189159^|^0^|^1^|^0^|^1^|^0^|^ORG^|^1130541318^|^13013487^|^9123529^|^20170210^|^T12^|^T1235^|^T1236^|^T1237^|^30541288^|^115^|^1214644^|^115^|^115^|^165^|^20180618^|^20201230^|^1461200001309003249109397810607008^|^B^|^rg^|^MMO^|^19930302^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
45189160^|^0^|^0^|^0^|^0^|^0^|^IND^|^1130541319^|^13013488^|^9123530^|^20170624^|^T12^|^T1235^|^T1236^|^T1237^|^30541289^|^116^|^1214645^|^116^|^116^|^166^|^20180609^|^20201230^|^1461200001309003249109397810607009^|^B^|^rg^|^MMC^|^19851105^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189161^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541320^|^13013489^|^9123531^|^20170607^|^T12^|^T1235^|^T1236^|^T1237^|^30541290^|^117^|^1214646^|^117^|^117^|^167^|^20181027^|^20201230^|^1461200001309003249109397810607010^|^RG^|^rg^|^MMC^|^19851212^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189162^|^1^|^1^|^1^|^1^|^1^|^IND^|^1130541321^|^13013490^|^9123532^|^20161205^|^T12^|^T1235^|^T1236^|^T1237^|^30541291^|^118^|^1214647^|^118^|^118^|^168^|^20180616^|^20201230^|^1461200001309003249109397810607011^|^I^|^rg^|^MMC^|^20101113^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
