pega_customer_id^|^pega_related_customer_id^|^cust_rel_cd^|^related_person_id^|^related_household_id^|^related_cust_type_cd^|^related_cust_num^|^subscr_market_cd^|^related_subscr_num^|^subscr_first_ind^|^subscr_valid_from_dt^|^subscr_valid_until_dt
45189130^|^45189130^|^samehousehold^|^86^|^84^|^dlscust^|^324234234^|^mmc^|^gsm1721234606^|^0^|^20170112^|^20170920
45189131^|^45189131^|^samehousehold^|^87^|^85^|^cabcust^|^324234234^|^mmc^|^gsm1721234607^|^0^|^20170301^|^20170614
45189132^|^45189132^|^samehousehold^|^88^|^86^|^dlscust^|^324234234^|^mmc^|^gsm1721234608^|^0^|^20170822^|^20170402
45189133^|^45189133^|^samehousehold^|^89^|^87^|^cabcust^|^324234234^|^mmc^|^gsm1721234609^|^0^|^20170726^|^20170702
45189134^|^45189134^|^samehousehold^|^90^|^88^|^dlscust^|^324234234^|^mmc^|^gsm1721234610^|^1^|^20170117^|^20170829
45189135^|^45189135^|^sameperson^|^91^|^89^|^mobcust^|^324234234^|^mmc^|^gsm1721234611^|^1^|^20170724^|^20170908
45189136^|^45189136^|^relatedban^|^92^|^90^|^cabcust^|^324234234^|^mmc^|^gsm1721234612^|^0^|^20171019^|^20171130
45189137^|^45189137^|^sameperson^|^93^|^91^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234613^|^1^|^20170320^|^20170523
45189138^|^45189138^|^samehousehold^|^94^|^92^|^dlscust^|^324234234^|^mmc^|^gsm1721234614^|^1^|^20170705^|^20170303
45189139^|^45189139^|^relatedban^|^95^|^93^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234615^|^1^|^20170304^|^20170109
45189140^|^45189140^|^sameperson^|^96^|^94^|^cabcust^|^324234234^|^mmc^|^gsm1721234616^|^0^|^20170208^|^20171001
45189141^|^45189141^|^relatedban^|^97^|^95^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234617^|^1^|^20170817^|^20170913
45189142^|^45189142^|^relatedban^|^98^|^96^|^cabcust^|^324234234^|^mmc^|^gsm1721234618^|^1^|^20170423^|^20170114
45189143^|^45189143^|^sameperson^|^99^|^97^|^mobcust^|^324234234^|^mmc^|^gsm1721234619^|^0^|^20170130^|^20171015
45189144^|^45189144^|^samehousehold^|^100^|^98^|^cabcust^|^324234234^|^mmc^|^gsm1721234620^|^1^|^20170822^|^20170127
45189145^|^45189145^|^samehousehold^|^101^|^99^|^dlscust^|^324234234^|^mmc^|^gsm1721234621^|^0^|^20171224^|^20171030
45189146^|^45189146^|^relatedban^|^102^|^100^|^mobcust^|^324234234^|^mmc^|^gsm1721234622^|^1^|^20170812^|^20171010
45189147^|^45189147^|^samehousehold^|^103^|^101^|^cabcust^|^324234234^|^mmc^|^gsm1721234623^|^1^|^20170425^|^20170602
45189148^|^45189148^|^sameperson^|^104^|^102^|^cabcust^|^324234234^|^mmc^|^gsm1721234624^|^0^|^20171023^|^20170412
45189149^|^45189149^|^relatedban^|^105^|^103^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234625^|^1^|^20170611^|^20170117
45189150^|^45189150^|^relatedban^|^106^|^104^|^cabcust^|^324234234^|^mmc^|^gsm1721234626^|^1^|^20170524^|^20170617
45189151^|^45189151^|^samehousehold^|^107^|^105^|^cabcust^|^324234234^|^mmc^|^gsm1721234627^|^0^|^20171019^|^20170116
45189152^|^45189152^|^samehousehold^|^108^|^106^|^cabcust^|^324234234^|^mmc^|^gsm1721234628^|^0^|^20170611^|^20170320
45189153^|^45189153^|^sameperson^|^109^|^107^|^mobcust^|^324234234^|^mmc^|^gsm1721234629^|^1^|^20170501^|^20170211
45189154^|^45189154^|^relatedban^|^110^|^108^|^cabcust^|^324234234^|^mmc^|^gsm1721234630^|^0^|^20170502^|^20170212
45189155^|^45189155^|^relatedban^|^111^|^109^|^dlscust^|^324234234^|^mmc^|^gsm1721234631^|^1^|^20170622^|^20170409
45189156^|^45189156^|^relatedban^|^112^|^110^|^cabcust^|^324234234^|^mmc^|^gsm1721234632^|^1^|^20170820^|^20170130
45189157^|^45189157^|^samehousehold^|^113^|^111^|^dlscust^|^324234234^|^mmc^|^gsm1721234633^|^0^|^20170315^|^20170530
45189158^|^45189158^|^sameperson^|^114^|^112^|^cabcust^|^324234234^|^mmc^|^gsm1721234634^|^0^|^20170518^|^20170623
45189159^|^45189159^|^relatedban^|^115^|^113^|^cabcust^|^324234234^|^mmc^|^gsm1721234635^|^1^|^20170807^|^20171007
45189160^|^45189160^|^samehousehold^|^116^|^114^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234636^|^1^|^20170716^|^20171205
45189161^|^45189161^|^relatedban^|^117^|^115^|^dlscust^|^324234234^|^mmc^|^gsm1721234637^|^1^|^20170713^|^20170119
45189162^|^45189162^|^samehousehold^|^118^|^116^|^dlscust^|^324234234^|^mmc^|^gsm1721234638^|^0^|^20170726^|^20170123
45189163^|^45189163^|^relatedban^|^119^|^117^|^dlscust^|^324234234^|^mmc^|^gsm1721234639^|^1^|^20170924^|^20171012
45189164^|^45189164^|^samehousehold^|^120^|^118^|^dlscust^|^324234234^|^mmc^|^gsm1721234640^|^0^|^20170503^|^20170327
45189165^|^45189165^|^samehousehold^|^121^|^119^|^dlscust^|^324234234^|^mmc^|^gsm1721234641^|^0^|^20170327^|^20170605
45189166^|^45189166^|^samehousehold^|^122^|^120^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234642^|^1^|^20170307^|^20170330
45189167^|^45189167^|^sameperson^|^123^|^121^|^cabcust^|^324234234^|^mmc^|^gsm1721234643^|^1^|^20170603^|^20170518
45189168^|^45189168^|^samehousehold^|^124^|^122^|^mobcust^|^324234234^|^mmc^|^gsm1721234644^|^0^|^20170818^|^20170720
45189169^|^45189169^|^relatedban^|^125^|^123^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234645^|^0^|^20171120^|^20170405
45189170^|^45189170^|^relatedban^|^126^|^124^|^cabcust^|^324234234^|^mmc^|^gsm1721234646^|^1^|^20170118^|^20170513
45189171^|^45189171^|^samehousehold^|^127^|^125^|^dlscust^|^324234234^|^mmc^|^gsm1721234647^|^1^|^20170526^|^20170627
45189172^|^45189172^|^sameperson^|^128^|^126^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234648^|^1^|^20170113^|^20171031
45189173^|^45189173^|^relatedban^|^129^|^127^|^mobcust^|^324234234^|^mmc^|^gsm1721234649^|^0^|^20170406^|^20170123
45189174^|^45189174^|^samehousehold^|^130^|^128^|^dlscust^|^324234234^|^mmc^|^gsm1721234650^|^1^|^20170522^|^20170331
45189175^|^45189175^|^samehousehold^|^131^|^129^|^dlscust^|^324234234^|^mmc^|^gsm1721234651^|^0^|^20170528^|^20170418
45189176^|^45189176^|^relatedban^|^132^|^130^|^mobcust^|^324234234^|^mmc^|^gsm1721234652^|^1^|^20170203^|^20170913
45189177^|^45189177^|^samehousehold^|^133^|^131^|^dlscust^|^324234234^|^mmc^|^gsm1721234653^|^0^|^20170530^|^20171206
45189178^|^45189178^|^sameperson^|^134^|^132^|^cabcust^|^324234234^|^mmc^|^gsm1721234654^|^0^|^20170420^|^20170312
45189179^|^45189179^|^sameperson^|^135^|^133^|^cabcust^|^324234234^|^mmc^|^gsm1721234655^|^0^|^20170209^|^20170125
45189180^|^45189180^|^samehousehold^|^136^|^134^|^cabcust^|^324234234^|^mmc^|^gsm1721234656^|^0^|^20171118^|^20171011
45189181^|^45189181^|^sameperson^|^137^|^135^|^dlscust^|^324234234^|^mmc^|^gsm1721234657^|^1^|^20170111^|^20171219
45189182^|^45189182^|^relatedban^|^138^|^136^|^dlscust^|^324234234^|^mmc^|^gsm1721234658^|^0^|^20170630^|^20170524
45189183^|^45189183^|^samehousehold^|^139^|^137^|^dlscust^|^324234234^|^mmc^|^gsm1721234659^|^1^|^20170313^|^20170917
45189184^|^45189184^|^samehousehold^|^140^|^138^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234660^|^0^|^20170524^|^20170825
45189185^|^45189185^|^relatedban^|^141^|^139^|^cabcust^|^324234234^|^mmc^|^gsm1721234661^|^1^|^20171215^|^20170827
45189186^|^45189186^|^relatedban^|^142^|^140^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234662^|^0^|^20170202^|^20170923
45189187^|^45189187^|^samehousehold^|^143^|^141^|^cabcust^|^324234234^|^mmc^|^gsm1721234663^|^0^|^20170217^|^20170530
45189188^|^45189188^|^relatedban^|^144^|^142^|^dlscust^|^324234234^|^mmc^|^gsm1721234664^|^0^|^20171104^|^20170208
45189189^|^45189189^|^samehousehold^|^145^|^143^|^dlscust^|^324234234^|^mmc^|^gsm1721234665^|^0^|^20170603^|^20170509
45189190^|^45189190^|^relatedban^|^146^|^144^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234666^|^0^|^20170630^|^20171202
45189191^|^45189191^|^relatedban^|^147^|^145^|^dlscust^|^324234234^|^mmc^|^gsm1721234667^|^0^|^20170724^|^20170221
45189192^|^45189192^|^relatedban^|^148^|^146^|^dlscust^|^324234234^|^mmc^|^gsm1721234668^|^0^|^20170303^|^20170429
45189193^|^45189193^|^sameperson^|^149^|^147^|^dlscust^|^324234234^|^mmc^|^gsm1721234669^|^0^|^20171111^|^20170126
45189194^|^45189194^|^relatedban^|^150^|^148^|^dlscust^|^324234234^|^mmc^|^gsm1721234670^|^0^|^20170120^|^20170601
45189195^|^45189195^|^samehousehold^|^151^|^149^|^cabcust^|^324234234^|^mmc^|^gsm1721234671^|^0^|^20170808^|^20170903
45189196^|^45189196^|^samehousehold^|^152^|^150^|^cabcust^|^324234234^|^mmc^|^gsm1721234672^|^0^|^20171215^|^20170929
45189197^|^45189197^|^relatedban^|^153^|^151^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234673^|^0^|^20171125^|^20170613
45189198^|^45189198^|^relatedban^|^154^|^152^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234674^|^0^|^20170313^|^20170730
45189199^|^45189199^|^sameperson^|^155^|^153^|^cabcust^|^324234234^|^mmc^|^gsm1721234675^|^1^|^20170209^|^20170824
45189200^|^45189200^|^sameperson^|^156^|^154^|^cabcust^|^324234234^|^mmc^|^gsm1721234676^|^1^|^20170926^|^20170421
45189201^|^45189201^|^sameperson^|^157^|^155^|^mobcust^|^324234234^|^mmc^|^gsm1721234677^|^0^|^20170724^|^20170606
45189202^|^45189202^|^samehousehold^|^158^|^156^|^cabcust^|^324234234^|^mmc^|^gsm1721234678^|^1^|^20170216^|^20170705
45189203^|^45189203^|^samehousehold^|^159^|^157^|^dlscust^|^324234234^|^mmc^|^gsm1721234679^|^0^|^20170813^|^20170501
45189204^|^45189204^|^sameperson^|^160^|^158^|^dlscust^|^324234234^|^mmc^|^gsm1721234680^|^0^|^20170205^|^20170709
45189205^|^45189205^|^sameperson^|^161^|^159^|^cabcust^|^324234234^|^mmc^|^gsm1721234681^|^1^|^20170218^|^20171223
45189206^|^45189206^|^relatedban^|^162^|^160^|^cabcust^|^324234234^|^mmc^|^gsm1721234682^|^1^|^20170325^|^20170513
45189207^|^45189207^|^samehousehold^|^163^|^161^|^cabcust^|^324234234^|^mmc^|^gsm1721234683^|^0^|^20170526^|^20170612
45189208^|^45189208^|^samehousehold^|^164^|^162^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234684^|^0^|^20171113^|^20170807
45189209^|^45189209^|^samehousehold^|^165^|^163^|^dlscust^|^324234234^|^mmc^|^gsm1721234685^|^0^|^20171223^|^20170817
45189210^|^45189210^|^relatedban^|^166^|^164^|^dlscust^|^324234234^|^mmc^|^gsm1721234686^|^0^|^20170305^|^20171209
45189211^|^45189211^|^sameperson^|^167^|^165^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234687^|^0^|^20171219^|^20170709
45189212^|^45189212^|^samehousehold^|^168^|^166^|^cabcust^|^324234234^|^mmc^|^gsm1721234688^|^0^|^20170303^|^20170303
45189213^|^45189213^|^relatedban^|^169^|^167^|^cabcust^|^324234234^|^mmc^|^gsm1721234689^|^1^|^20170719^|^20170916
45189214^|^45189214^|^samehousehold^|^170^|^168^|^dlscust^|^324234234^|^mmc^|^gsm1721234690^|^0^|^20170128^|^20170908
45189215^|^45189215^|^relatedban^|^171^|^169^|^cabcust^|^324234234^|^mmc^|^gsm1721234691^|^0^|^20170214^|^20170306
45189216^|^45189216^|^relatedban^|^172^|^170^|^mobcust^|^324234234^|^mmc^|^gsm1721234692^|^0^|^20170906^|^20171127
45189217^|^45189217^|^sameperson^|^173^|^171^|^mobcust^|^324234234^|^mmc^|^gsm1721234693^|^0^|^20170430^|^20170407
45189218^|^45189218^|^sameperson^|^174^|^172^|^cabcust^|^324234234^|^mmc^|^gsm1721234694^|^1^|^20170909^|^20170415
45189219^|^45189219^|^relatedban^|^175^|^173^|^dlscust^|^324234234^|^mmc^|^gsm1721234695^|^0^|^20170422^|^20170327
45189220^|^45189220^|^samehousehold^|^176^|^174^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234696^|^0^|^20171224^|^20170815
45189221^|^45189221^|^samehousehold^|^177^|^175^|^mobcust^|^324234234^|^mmc^|^gsm1721234697^|^0^|^20170103^|^20170804
45189222^|^45189222^|^relatedban^|^178^|^176^|^dlscust^|^324234234^|^mmc^|^gsm1721234698^|^1^|^20170816^|^20170313
45189223^|^45189223^|^relatedban^|^179^|^177^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234699^|^1^|^20171120^|^20170108
45189224^|^45189224^|^samehousehold^|^180^|^178^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234700^|^1^|^20170506^|^20171027
45189225^|^45189225^|^relatedban^|^181^|^179^|^mobcust^|^324234234^|^mmc^|^gsm1721234701^|^1^|^20170505^|^20170331
45189226^|^45189226^|^relatedban^|^182^|^180^|^mobcust^|^324234234^|^mmc^|^gsm1721234702^|^1^|^20171225^|^20170104
45189227^|^45189227^|^samehousehold^|^183^|^181^|^dlscust^|^324234234^|^mmc^|^gsm1721234703^|^1^|^20170406^|^20170930
45189228^|^45189228^|^relatedban^|^184^|^182^|^dlscust^|^324234234^|^mmc^|^gsm1721234704^|^0^|^20170802^|^20171015
45189229^|^45189229^|^relatedban^|^185^|^183^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234705^|^0^|^20170110^|^20170512
45189230^|^45189230^|^relatedban^|^186^|^184^|^dlscust^|^324234234^|^mmc^|^gsm1721234706^|^1^|^20170117^|^20170720
45189231^|^45189231^|^relatedban^|^187^|^185^|^mobcust^|^324234234^|^mmc^|^gsm1721234707^|^1^|^20171122^|^20170318
45189232^|^45189232^|^samehousehold^|^188^|^186^|^cabcust^|^324234234^|^mmc^|^gsm1721234708^|^1^|^20171128^|^20171017
45189233^|^45189233^|^samehousehold^|^189^|^187^|^dlscust^|^324234234^|^mmc^|^gsm1721234709^|^0^|^20170915^|^20170916
45189234^|^45189234^|^sameperson^|^190^|^188^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234710^|^1^|^20171120^|^20171222
45189235^|^45189235^|^samehousehold^|^191^|^189^|^cabcust^|^324234234^|^mmc^|^gsm1721234711^|^1^|^20170208^|^20170417
45189236^|^45189236^|^samehousehold^|^192^|^190^|^mobcust^|^324234234^|^mmc^|^gsm1721234712^|^1^|^20170722^|^20170612
45189237^|^45189237^|^sameperson^|^193^|^191^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234713^|^0^|^20170409^|^20170928
45189238^|^45189238^|^samehousehold^|^194^|^192^|^mobcust^|^324234234^|^mmc^|^gsm1721234714^|^1^|^20170729^|^20170723
45189239^|^45189239^|^relatedban^|^195^|^193^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234715^|^0^|^20170207^|^20170515
45189240^|^45189240^|^relatedban^|^196^|^194^|^cabcust^|^324234234^|^mmc^|^gsm1721234716^|^1^|^20170519^|^20170612
45189241^|^45189241^|^sameperson^|^197^|^195^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234717^|^1^|^20170605^|^20170326
45189242^|^45189242^|^sameperson^|^198^|^196^|^mobcust^|^324234234^|^mmc^|^gsm1721234718^|^0^|^20170203^|^20170326
45189243^|^45189243^|^sameperson^|^199^|^197^|^cabcust^|^324234234^|^mmc^|^gsm1721234719^|^0^|^20171214^|^20170823
45189244^|^45189244^|^relatedban^|^200^|^198^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234720^|^0^|^20171031^|^20171203
45189245^|^45189245^|^sameperson^|^201^|^199^|^dlscust^|^324234234^|^mmc^|^gsm1721234721^|^1^|^20170729^|^20170923
45189246^|^45189246^|^samehousehold^|^202^|^200^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234722^|^1^|^20170610^|^20170425
45189247^|^45189247^|^relatedban^|^203^|^201^|^dlscust^|^324234234^|^mmc^|^gsm1721234723^|^0^|^20171004^|^20170225
45189248^|^45189248^|^relatedban^|^204^|^202^|^mobcust^|^324234234^|^mmc^|^gsm1721234724^|^1^|^20170217^|^20171222
45189249^|^45189249^|^relatedban^|^205^|^203^|^mobcust^|^324234234^|^mmc^|^gsm1721234725^|^1^|^20170415^|^20170628
45189250^|^45189250^|^sameperson^|^206^|^204^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234726^|^0^|^20170427^|^20170102
45189251^|^45189251^|^relatedban^|^207^|^205^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234727^|^1^|^20170807^|^20170530
45189252^|^45189252^|^sameperson^|^208^|^206^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234728^|^0^|^20170403^|^20170628
45189253^|^45189253^|^sameperson^|^209^|^207^|^dlscust^|^324234234^|^mmc^|^gsm1721234729^|^0^|^20170627^|^20171106
45189254^|^45189254^|^relatedban^|^210^|^208^|^cabcust^|^324234234^|^mmc^|^gsm1721234730^|^0^|^20170626^|^20171228
45189255^|^45189255^|^relatedban^|^211^|^209^|^mobcust^|^324234234^|^mmc^|^gsm1721234731^|^0^|^20170719^|^20170908
45189256^|^45189256^|^sameperson^|^212^|^210^|^dlscust^|^324234234^|^mmc^|^gsm1721234732^|^0^|^20170309^|^20170304
45189257^|^45189257^|^samehousehold^|^213^|^211^|^dlscust^|^324234234^|^mmc^|^gsm1721234733^|^1^|^20171020^|^20170611
45189258^|^45189258^|^sameperson^|^214^|^212^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234734^|^1^|^20170119^|^20170109
45189259^|^45189259^|^samehousehold^|^215^|^213^|^dlscust^|^324234234^|^mmc^|^gsm1721234735^|^0^|^20170403^|^20170323
45189260^|^45189260^|^sameperson^|^216^|^214^|^dlscust^|^324234234^|^mmc^|^gsm1721234736^|^1^|^20170923^|^20170622
45189261^|^45189261^|^relatedban^|^217^|^215^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234737^|^0^|^20171107^|^20170718
45189262^|^45189262^|^samehousehold^|^218^|^216^|^mobcust^|^324234234^|^mmc^|^gsm1721234738^|^0^|^20170511^|^20170315
45189263^|^45189263^|^samehousehold^|^219^|^217^|^cabcust^|^324234234^|^mmc^|^gsm1721234739^|^0^|^20170821^|^20170616
45189264^|^45189264^|^sameperson^|^220^|^218^|^mobcust^|^324234234^|^mmc^|^gsm1721234740^|^1^|^20170624^|^20170104
45189265^|^45189265^|^samehousehold^|^221^|^219^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234741^|^0^|^20171209^|^20171015
45189266^|^45189266^|^samehousehold^|^222^|^220^|^mobcust^|^324234234^|^mmc^|^gsm1721234742^|^1^|^20171209^|^20170206
45189267^|^45189267^|^relatedban^|^223^|^221^|^mobcust^|^324234234^|^mmc^|^gsm1721234743^|^1^|^20170311^|^20171008
45189268^|^45189268^|^relatedban^|^224^|^222^|^cabcust^|^324234234^|^mmc^|^gsm1721234744^|^1^|^20170419^|^20170430
45189269^|^45189269^|^sameperson^|^225^|^223^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234745^|^1^|^20170926^|^20171128
45189270^|^45189270^|^samehousehold^|^226^|^224^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234746^|^1^|^20170202^|^20170312
45189271^|^45189271^|^sameperson^|^227^|^225^|^cabcust^|^324234234^|^mmc^|^gsm1721234747^|^1^|^20171031^|^20170925
45189272^|^45189272^|^sameperson^|^228^|^226^|^dlscust^|^324234234^|^mmc^|^gsm1721234748^|^0^|^20170806^|^20171224
45189273^|^45189273^|^relatedban^|^229^|^227^|^cabcust^|^324234234^|^mmc^|^gsm1721234749^|^1^|^20171214^|^20170517
45189274^|^45189274^|^sameperson^|^230^|^228^|^cabcust^|^324234234^|^mmc^|^gsm1721234750^|^0^|^20171024^|^20170111
45189275^|^45189275^|^relatedban^|^231^|^229^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234751^|^0^|^20170725^|^20170124
45189276^|^45189276^|^relatedban^|^232^|^230^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234752^|^1^|^20170804^|^20171212
45189277^|^45189277^|^relatedban^|^233^|^231^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234753^|^0^|^20170223^|^20170308
45189278^|^45189278^|^sameperson^|^234^|^232^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234754^|^0^|^20170224^|^20170826
45189279^|^45189279^|^samehousehold^|^235^|^233^|^cabcust^|^324234234^|^mmc^|^gsm1721234755^|^1^|^20170828^|^20170706
45189280^|^45189280^|^sameperson^|^236^|^234^|^mobcust^|^324234234^|^mmc^|^gsm1721234756^|^0^|^20170518^|^20170413
45189281^|^45189281^|^sameperson^|^237^|^235^|^mobcust^|^324234234^|^mmc^|^gsm1721234757^|^0^|^20170121^|^20170225
45189282^|^45189282^|^relatedban^|^238^|^236^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234758^|^1^|^20170823^|^20171122
45189283^|^45189283^|^samehousehold^|^239^|^237^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234759^|^1^|^20170314^|^20170508
45189284^|^45189284^|^sameperson^|^240^|^238^|^mobsubscr^|^324234234^|^mmc^|^gsm1721234760^|^0^|^20170624^|^20170123
