name^|^value^|^priority^|^customer_id^|^subscr_id^|^household_id^|^building_id
SAHANA^|^1^|^233^|^45189323^|^279^|^279^|^279
SAHANA^|^0^|^234^|^45189324^|^280^|^280^|^280
SAHANA^|^1^|^235^|^45189325^|^281^|^281^|^281
SAHANA^|^1^|^236^|^45189326^|^282^|^282^|^282
Muller^|^0^|^237^|^45189327^|^283^|^283^|^283
SAHANA^|^1^|^238^|^45189328^|^284^|^284^|^284
SAHANA^|^1^|^239^|^45189329^|^285^|^285^|^285
Muller^|^0^|^240^|^45189330^|^286^|^286^|^286
SAHANA^|^1^|^241^|^45189331^|^287^|^287^|^287
SAHANA^|^0^|^242^|^45189332^|^288^|^288^|^288
Muller^|^1^|^243^|^45189333^|^289^|^289^|^289
Muller^|^0^|^244^|^45189334^|^290^|^290^|^290
SAHANA^|^0^|^245^|^45189335^|^291^|^291^|^291
Muller^|^1^|^246^|^45189336^|^292^|^292^|^292
SAHANA^|^0^|^247^|^45189337^|^293^|^293^|^293
Muller^|^1^|^248^|^45189338^|^294^|^294^|^294
SAHANA^|^0^|^249^|^45189339^|^295^|^295^|^295
SAHANA^|^0^|^250^|^45189340^|^296^|^296^|^296
Muller^|^0^|^251^|^45189341^|^297^|^297^|^297
Muller^|^1^|^252^|^45189342^|^298^|^298^|^298
SAHANA^|^1^|^253^|^45189343^|^299^|^299^|^299
SAHANA^|^0^|^254^|^45189344^|^300^|^300^|^300
Muller^|^0^|^255^|^45189345^|^301^|^301^|^301
Muller^|^1^|^256^|^45189346^|^302^|^302^|^302
SAHANA^|^1^|^257^|^45189347^|^303^|^303^|^303
SAHANA^|^1^|^258^|^45189348^|^304^|^304^|^304
Muller^|^0^|^259^|^45189349^|^305^|^305^|^305
SAHANA^|^0^|^260^|^45189350^|^306^|^306^|^306
SAHANA^|^1^|^261^|^45189351^|^307^|^307^|^307
SAHANA^|^1^|^262^|^45189352^|^308^|^308^|^308
SAHANA^|^1^|^263^|^45189353^|^309^|^309^|^309
SAHANA^|^0^|^264^|^45189354^|^310^|^310^|^310
SAHANA^|^0^|^265^|^45189355^|^311^|^311^|^311
Muller^|^0^|^266^|^45189356^|^312^|^312^|^312
Muller^|^1^|^267^|^45189357^|^313^|^313^|^313
SAHANA^|^1^|^268^|^45189358^|^314^|^314^|^314
SAHANA^|^0^|^269^|^45189359^|^315^|^315^|^315
SAHANA^|^1^|^270^|^45189360^|^316^|^316^|^316
SAHANA^|^0^|^271^|^45189361^|^317^|^317^|^317
Muller^|^1^|^272^|^45189362^|^318^|^318^|^318
Muller^|^0^|^273^|^45189363^|^319^|^319^|^319
Muller^|^1^|^274^|^45189364^|^320^|^320^|^320
Muller^|^1^|^275^|^45189365^|^321^|^321^|^321
SAHANA^|^0^|^276^|^45189366^|^322^|^322^|^322
Muller^|^0^|^277^|^45189367^|^323^|^323^|^323
SAHANA^|^0^|^278^|^45189368^|^324^|^324^|^324
Muller^|^0^|^279^|^45189369^|^325^|^325^|^325
SAHANA^|^0^|^280^|^45189370^|^326^|^326^|^326
Muller^|^1^|^281^|^45189371^|^327^|^327^|^327
Muller^|^0^|^282^|^45189372^|^328^|^328^|^328
SAHANA^|^0^|^283^|^45189373^|^329^|^329^|^329
SAHANA^|^1^|^284^|^45189374^|^330^|^330^|^330
Muller^|^0^|^285^|^45189375^|^331^|^331^|^331
Muller^|^1^|^286^|^45189376^|^332^|^332^|^332
Muller^|^0^|^287^|^45189377^|^333^|^333^|^333
SAHANA^|^1^|^288^|^45189378^|^334^|^334^|^334
SAHANA^|^1^|^289^|^45189379^|^335^|^335^|^335
Muller^|^1^|^290^|^45189380^|^336^|^336^|^336
SAHANA^|^0^|^291^|^45189381^|^337^|^337^|^337
Muller^|^0^|^292^|^45189382^|^338^|^338^|^338
SAHANA^|^1^|^293^|^45189383^|^339^|^339^|^339
SAHANA^|^1^|^294^|^45189384^|^340^|^340^|^340
Muller^|^1^|^295^|^45189385^|^341^|^341^|^341
SAHANA^|^0^|^296^|^45189386^|^342^|^342^|^342
SAHANA^|^1^|^297^|^45189387^|^343^|^343^|^343
Muller^|^1^|^298^|^45189388^|^344^|^344^|^344
SAHANA^|^0^|^299^|^45189389^|^345^|^345^|^345
SAHANA^|^1^|^300^|^45189390^|^346^|^346^|^346
SAHANA^|^0^|^301^|^45189391^|^347^|^347^|^347
Muller^|^1^|^302^|^45189392^|^348^|^348^|^348
SAHANA^|^0^|^303^|^45189393^|^349^|^349^|^349
SAHANA^|^1^|^304^|^45189394^|^350^|^350^|^350
Muller^|^0^|^305^|^45189395^|^351^|^351^|^351
Muller^|^0^|^306^|^45189396^|^352^|^352^|^352
Muller^|^1^|^307^|^45189397^|^353^|^353^|^353
Muller^|^1^|^308^|^45189398^|^354^|^354^|^354
SAHANA^|^1^|^309^|^45189399^|^355^|^355^|^355
SAHANA^|^1^|^310^|^45189400^|^356^|^356^|^356
SAHANA^|^1^|^311^|^45189401^|^357^|^357^|^357
Muller^|^0^|^312^|^45189402^|^358^|^358^|^358
SAHANA^|^0^|^313^|^45189403^|^359^|^359^|^359
SAHANA^|^0^|^314^|^45189404^|^360^|^360^|^360
SAHANA^|^1^|^315^|^45189405^|^361^|^361^|^361
SAHANA^|^0^|^316^|^45189406^|^362^|^362^|^362
Muller^|^0^|^317^|^45189407^|^363^|^363^|^363
SAHANA^|^0^|^318^|^45189408^|^364^|^364^|^364
Muller^|^1^|^319^|^45189409^|^365^|^365^|^365
SAHANA^|^0^|^320^|^45189410^|^366^|^366^|^366
Muller^|^1^|^321^|^45189411^|^367^|^367^|^367
Muller^|^0^|^322^|^45189412^|^368^|^368^|^368
SAHANA^|^1^|^323^|^45189413^|^369^|^369^|^369
SAHANA^|^1^|^324^|^45189414^|^370^|^370^|^370
Muller^|^0^|^325^|^45189415^|^371^|^371^|^371
Muller^|^1^|^326^|^45189416^|^372^|^372^|^372
Muller^|^1^|^327^|^45189417^|^373^|^373^|^373
SAHANA^|^0^|^328^|^45189418^|^374^|^374^|^374
SAHANA^|^1^|^329^|^45189419^|^375^|^375^|^375
SAHANA^|^0^|^330^|^45189420^|^376^|^376^|^376
SAHANA^|^1^|^331^|^45189421^|^377^|^377^|^377
Muller^|^0^|^332^|^45189422^|^378^|^378^|^378
Muller^|^0^|^333^|^45189423^|^379^|^379^|^379
SAHANA^|^1^|^334^|^45189424^|^380^|^380^|^380
SAHANA^|^1^|^335^|^45189425^|^381^|^381^|^381
SAHANA^|^0^|^336^|^45189426^|^382^|^382^|^382
Muller^|^1^|^337^|^45189427^|^383^|^383^|^383
SAHANA^|^0^|^338^|^45189428^|^384^|^384^|^384
Muller^|^0^|^339^|^45189429^|^385^|^385^|^385
Muller^|^0^|^340^|^45189430^|^386^|^386^|^386
SAHANA^|^1^|^341^|^45189431^|^387^|^387^|^387
SAHANA^|^0^|^342^|^45189432^|^388^|^388^|^388
SAHANA^|^0^|^343^|^45189433^|^389^|^389^|^389
SAHANA^|^0^|^344^|^45189434^|^390^|^390^|^390
Muller^|^1^|^345^|^45189435^|^391^|^391^|^391
SAHANA^|^1^|^346^|^45189436^|^392^|^392^|^392
SAHANA^|^0^|^347^|^45189437^|^393^|^393^|^393
Muller^|^1^|^348^|^45189438^|^394^|^394^|^394
SAHANA^|^1^|^349^|^45189439^|^395^|^395^|^395
SAHANA^|^0^|^350^|^45189440^|^396^|^396^|^396
SAHANA^|^1^|^351^|^45189441^|^397^|^397^|^397
SAHANA^|^1^|^352^|^45189442^|^398^|^398^|^398
Muller^|^1^|^353^|^45189443^|^399^|^399^|^399
Muller^|^0^|^354^|^45189444^|^400^|^400^|^400
SAHANA^|^0^|^355^|^45189445^|^401^|^401^|^401
Muller^|^1^|^356^|^45189446^|^402^|^402^|^402
SAHANA^|^1^|^357^|^45189447^|^403^|^403^|^403
SAHANA^|^0^|^358^|^45189448^|^404^|^404^|^404
Muller^|^0^|^359^|^45189449^|^405^|^405^|^405
SAHANA^|^0^|^360^|^45189450^|^406^|^406^|^406
SAHANA^|^1^|^361^|^45189451^|^407^|^407^|^407
Muller^|^0^|^362^|^45189452^|^408^|^408^|^408
SAHANA^|^1^|^363^|^45189453^|^409^|^409^|^409
Muller^|^0^|^364^|^45189454^|^410^|^410^|^410
Muller^|^0^|^365^|^45189455^|^411^|^411^|^411
SAHANA^|^0^|^366^|^45189456^|^412^|^412^|^412
SAHANA^|^1^|^367^|^45189457^|^413^|^413^|^413
SAHANA^|^1^|^368^|^45189458^|^414^|^414^|^414
Muller^|^1^|^369^|^45189459^|^415^|^415^|^415
SAHANA^|^1^|^370^|^45189460^|^416^|^416^|^416
Muller^|^0^|^371^|^45189461^|^417^|^417^|^417
Muller^|^0^|^372^|^45189462^|^418^|^418^|^418
Muller^|^1^|^373^|^45189463^|^419^|^419^|^419
Muller^|^1^|^374^|^45189464^|^420^|^420^|^420
Muller^|^1^|^375^|^45189465^|^421^|^421^|^421
SAHANA^|^1^|^376^|^45189466^|^422^|^422^|^422
SAHANA^|^1^|^377^|^45189467^|^423^|^423^|^423
SAHANA^|^1^|^378^|^45189468^|^424^|^424^|^424
SAHANA^|^0^|^379^|^45189469^|^425^|^425^|^425
Muller^|^0^|^380^|^45189470^|^426^|^426^|^426
Muller^|^1^|^381^|^45189471^|^427^|^427^|^427
Muller^|^0^|^382^|^45189472^|^428^|^428^|^428
SAHANA^|^0^|^383^|^45189473^|^429^|^429^|^429
Muller^|^0^|^384^|^45189474^|^430^|^430^|^430
Muller^|^1^|^385^|^45189475^|^431^|^431^|^431
Muller^|^0^|^386^|^45189476^|^432^|^432^|^432
Muller^|^1^|^387^|^45189477^|^433^|^433^|^433
Muller^|^1^|^388^|^45189478^|^434^|^434^|^434
SAHANA^|^0^|^389^|^45189479^|^435^|^435^|^435
Muller^|^0^|^390^|^45189480^|^436^|^436^|^436
Muller^|^1^|^391^|^45189481^|^437^|^437^|^437
SAHANA^|^0^|^392^|^45189482^|^438^|^438^|^438
Muller^|^1^|^393^|^45189483^|^439^|^439^|^439
SAHANA^|^1^|^394^|^45189484^|^440^|^440^|^440
SAHANA^|^0^|^395^|^45189485^|^441^|^441^|^441
Muller^|^1^|^396^|^45189486^|^442^|^442^|^442
SAHANA^|^1^|^397^|^45189487^|^443^|^443^|^443
SAHANA^|^1^|^398^|^45189488^|^444^|^444^|^444
Muller^|^1^|^399^|^45189489^|^445^|^445^|^445
Muller^|^1^|^400^|^45189490^|^446^|^446^|^446
Muller^|^1^|^401^|^45189491^|^447^|^447^|^447
SAHANA^|^0^|^402^|^45189492^|^448^|^448^|^448
Muller^|^1^|^403^|^45189493^|^449^|^449^|^449
SAHANA^|^1^|^404^|^45189494^|^450^|^450^|^450
Muller^|^1^|^405^|^45189495^|^451^|^451^|^451
Muller^|^0^|^406^|^45189496^|^452^|^452^|^452
SAHANA^|^1^|^407^|^45189497^|^453^|^453^|^453
SAHANA^|^0^|^408^|^45189498^|^454^|^454^|^454
Muller^|^0^|^409^|^45189499^|^455^|^455^|^455
Muller^|^1^|^410^|^45189500^|^456^|^456^|^456
Muller^|^1^|^411^|^45189501^|^457^|^457^|^457
SAHANA^|^1^|^412^|^45189502^|^458^|^458^|^458
Muller^|^1^|^413^|^45189503^|^459^|^459^|^459
Muller^|^1^|^414^|^45189504^|^460^|^460^|^460
Muller^|^0^|^415^|^45189505^|^461^|^461^|^461
SAHANA^|^0^|^416^|^45189506^|^462^|^462^|^462
Muller^|^0^|^417^|^45189507^|^463^|^463^|^463
Muller^|^0^|^418^|^45189508^|^464^|^464^|^464
Muller^|^1^|^419^|^45189509^|^465^|^465^|^465
SAHANA^|^1^|^420^|^45189510^|^466^|^466^|^466
SAHANA^|^0^|^421^|^45189511^|^467^|^467^|^467
Muller^|^1^|^422^|^45189512^|^468^|^468^|^468
Muller^|^0^|^423^|^45189513^|^469^|^469^|^469
Muller^|^1^|^424^|^45189514^|^470^|^470^|^470
Muller^|^0^|^425^|^45189515^|^471^|^471^|^471
Muller^|^1^|^426^|^45189516^|^472^|^472^|^472
SAHANA^|^0^|^427^|^45189517^|^473^|^473^|^473
Muller^|^1^|^428^|^45189518^|^474^|^474^|^474
Muller^|^1^|^429^|^45189519^|^475^|^475^|^475
Muller^|^1^|^430^|^45189520^|^476^|^476^|^476
SAHANA^|^1^|^431^|^45189521^|^477^|^477^|^477
Muller^|^1^|^432^|^45189522^|^478^|^478^|^478
SAHANA^|^1^|^433^|^45189523^|^479^|^479^|^479
Muller^|^1^|^434^|^45189524^|^480^|^480^|^480
Muller^|^1^|^435^|^45189525^|^481^|^481^|^481
Muller^|^0^|^436^|^45189526^|^482^|^482^|^482
Muller^|^0^|^437^|^45189527^|^483^|^483^|^483
SAHANA^|^1^|^438^|^45189528^|^484^|^484^|^484
SAHANA^|^0^|^439^|^45189529^|^485^|^485^|^485
Muller^|^0^|^440^|^45189530^|^486^|^486^|^486
SAHANA^|^0^|^441^|^45189531^|^487^|^487^|^487
Muller^|^0^|^442^|^45189532^|^488^|^488^|^488
Muller^|^0^|^443^|^45189533^|^489^|^489^|^489
SAHANA^|^1^|^444^|^45189534^|^490^|^490^|^490
Muller^|^1^|^445^|^45189535^|^491^|^491^|^491
SAHANA^|^1^|^446^|^45189536^|^492^|^492^|^492
SAHANA^|^0^|^447^|^45189537^|^493^|^493^|^493
SAHANA^|^1^|^448^|^45189538^|^494^|^494^|^494
Muller^|^1^|^449^|^45189539^|^495^|^495^|^495
