customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt^|^cust_segment_cd^|^is_churned_cust
46189101^|^0^|^1^|^0^|^1^|^1^|^IND^|^1130541260^|^13013429^|^9123471^|^20170729^|^T12^|^T1235^|^T1236^|^T1237^|^30541230^|^57^|^1214586^|^57^|^57^|^107^|^20180803^|^20201230^|^1461200001309003249109397810606950^|^I^|^rg^|^MMO^|^19891218^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189102^|^0^|^1^|^0^|^0^|^1^|^IND^|^1130541261^|^13013430^|^9123472^|^20161108^|^T12^|^T1235^|^T1236^|^T1237^|^30541231^|^58^|^1214587^|^58^|^58^|^108^|^20180816^|^20201230^|^1461200001309003249109397810606951^|^I^|^rg^|^MMC^|^19950913^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189103^|^1^|^1^|^0^|^1^|^1^|^IND^|^1130541262^|^13013431^|^9123473^|^20160730^|^T12^|^T1235^|^T1236^|^T1237^|^30541232^|^59^|^1214588^|^59^|^59^|^109^|^20181031^|^20201230^|^1461200001309003249109397810606952^|^RG^|^rg^|^MMC^|^19870420^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189104^|^0^|^1^|^1^|^1^|^1^|^IND^|^1130541263^|^13013432^|^9123474^|^20160821^|^T12^|^T1235^|^T1236^|^T1237^|^30541233^|^60^|^1214589^|^60^|^60^|^110^|^20180210^|^20201230^|^1461200001309003249109397810606953^|^B^|^rg^|^MMC^|^20060220^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189105^|^0^|^0^|^1^|^0^|^1^|^ORG^|^1130541264^|^13013433^|^9123475^|^20160517^|^T12^|^T1235^|^T1236^|^T1237^|^30541234^|^61^|^1214590^|^61^|^61^|^111^|^20181011^|^20201230^|^1461200001309003249109397810606954^|^I^|^rg^|^MMO^|^20020628^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189106^|^1^|^1^|^1^|^1^|^1^|^IND^|^1130541265^|^13013434^|^9123476^|^20160808^|^T12^|^T1235^|^T1236^|^T1237^|^30541235^|^62^|^1214591^|^62^|^62^|^112^|^20180519^|^20201230^|^1461200001309003249109397810606955^|^RG^|^rg^|^MMO^|^19890126^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189107^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541266^|^13013435^|^9123477^|^20170121^|^T12^|^T1235^|^T1236^|^T1237^|^30541236^|^63^|^1214592^|^63^|^63^|^113^|^20180513^|^20201230^|^1461200001309003249109397810606956^|^I^|^rg^|^MMC^|^19950123^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189108^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541267^|^13013436^|^9123478^|^20160805^|^T12^|^T1235^|^T1236^|^T1237^|^30541237^|^64^|^1214593^|^64^|^64^|^114^|^20181122^|^20201230^|^1461200001309003249109397810606957^|^RG^|^rg^|^MMO^|^20080626^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189109^|^1^|^0^|^0^|^0^|^1^|^IND^|^1130541268^|^13013437^|^9123479^|^20170612^|^T12^|^T1235^|^T1236^|^T1237^|^30541238^|^65^|^1214594^|^65^|^65^|^115^|^20180512^|^20201230^|^1461200001309003249109397810606958^|^RG^|^rg^|^MMO^|^19931107^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189110^|^0^|^1^|^0^|^0^|^1^|^ORG^|^1130541269^|^13013438^|^9123480^|^20161010^|^T12^|^T1235^|^T1236^|^T1237^|^30541239^|^66^|^1214595^|^66^|^66^|^116^|^20180824^|^20201230^|^1461200001309003249109397810606959^|^I^|^rg^|^MMO^|^19940723^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189111^|^1^|^0^|^0^|^0^|^0^|^ORG^|^1130541270^|^13013439^|^9123481^|^20170707^|^T12^|^T1235^|^T1236^|^T1237^|^30541240^|^67^|^1214596^|^67^|^67^|^117^|^20180221^|^20201230^|^1461200001309003249109397810606960^|^I^|^rg^|^MMC^|^20110710^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189112^|^1^|^1^|^0^|^0^|^0^|^IND^|^1130541271^|^13013440^|^9123482^|^20170512^|^T12^|^T1235^|^T1236^|^T1237^|^30541241^|^68^|^1214597^|^68^|^68^|^118^|^20180506^|^20201230^|^1461200001309003249109397810606961^|^B^|^rg^|^MMC^|^19911122^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189113^|^1^|^1^|^1^|^0^|^0^|^IND^|^1130541272^|^13013441^|^9123483^|^20170702^|^T12^|^T1235^|^T1236^|^T1237^|^30541242^|^69^|^1214598^|^69^|^69^|^119^|^20180202^|^20201230^|^1461200001309003249109397810606962^|^I^|^rg^|^MMO^|^19890117^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189114^|^0^|^1^|^1^|^0^|^0^|^IND^|^1130541273^|^13013442^|^9123484^|^20170619^|^T12^|^T1235^|^T1236^|^T1237^|^30541243^|^70^|^1214599^|^70^|^70^|^120^|^20180108^|^20201230^|^1461200001309003249109397810606963^|^I^|^rg^|^MMC^|^20100123^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189115^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541274^|^13013443^|^9123485^|^20170630^|^T12^|^T1235^|^T1236^|^T1237^|^30541244^|^71^|^1214600^|^71^|^71^|^121^|^20180630^|^20201230^|^1461200001309003249109397810606964^|^I^|^rg^|^MMC^|^20060327^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189116^|^0^|^1^|^1^|^1^|^0^|^IND^|^1130541275^|^13013444^|^9123486^|^20170523^|^T12^|^T1235^|^T1236^|^T1237^|^30541245^|^72^|^1214601^|^72^|^72^|^122^|^20181106^|^20201230^|^1461200001309003249109397810606965^|^RG^|^rg^|^MMO^|^19970422^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189117^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541276^|^13013445^|^9123487^|^20161009^|^T12^|^T1235^|^T1236^|^T1237^|^30541246^|^73^|^1214602^|^73^|^73^|^123^|^20181126^|^20201230^|^1461200001309003249109397810606966^|^I^|^rg^|^MMC^|^19950909^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189118^|^1^|^0^|^1^|^1^|^0^|^IND^|^1130541277^|^13013446^|^9123488^|^20160627^|^T12^|^T1235^|^T1236^|^T1237^|^30541247^|^74^|^1214603^|^74^|^74^|^124^|^20181102^|^20201230^|^1461200001309003249109397810606967^|^I^|^rg^|^MMO^|^19931211^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189119^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541278^|^13013447^|^9123489^|^20161221^|^T12^|^T1235^|^T1236^|^T1237^|^30541248^|^75^|^1214604^|^75^|^75^|^125^|^20181104^|^20201230^|^1461200001309003249109397810606968^|^I^|^rg^|^MMC^|^19930326^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189120^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541279^|^13013448^|^9123490^|^20170415^|^T12^|^T1235^|^T1236^|^T1237^|^30541249^|^76^|^1214605^|^76^|^76^|^126^|^20180328^|^20201230^|^1461200001309003249109397810606969^|^RG^|^rg^|^MMO^|^19900108^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189121^|^1^|^0^|^1^|^0^|^1^|^IND^|^1130541280^|^13013449^|^9123491^|^20160724^|^T12^|^T1235^|^T1236^|^T1237^|^30541250^|^77^|^1214606^|^77^|^77^|^127^|^20180910^|^20201230^|^1461200001309003249109397810606970^|^I^|^rg^|^MMO^|^19910823^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189122^|^1^|^0^|^1^|^0^|^1^|^ORG^|^1130541281^|^13013450^|^9123492^|^20170426^|^T12^|^T1235^|^T1236^|^T1237^|^30541251^|^78^|^1214607^|^78^|^78^|^128^|^20180625^|^20201230^|^1461200001309003249109397810606971^|^RG^|^rg^|^MMC^|^20040112^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189123^|^0^|^0^|^0^|^0^|^1^|^IND^|^1130541282^|^13013451^|^9123493^|^20170328^|^T12^|^T1235^|^T1236^|^T1237^|^30541252^|^79^|^1214608^|^79^|^79^|^129^|^20180626^|^20201230^|^1461200001309003249109397810606972^|^B^|^rg^|^MMC^|^20030720^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189124^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541283^|^13013452^|^9123494^|^20170704^|^T12^|^T1235^|^T1236^|^T1237^|^30541253^|^80^|^1214609^|^80^|^80^|^130^|^20181218^|^20201230^|^1461200001309003249109397810606973^|^B^|^rg^|^MMC^|^19830325^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189125^|^1^|^0^|^0^|^1^|^1^|^IND^|^1130541284^|^13013453^|^9123495^|^20161214^|^T12^|^T1235^|^T1236^|^T1237^|^30541254^|^81^|^1214610^|^81^|^81^|^131^|^20181130^|^20201230^|^1461200001309003249109397810606974^|^I^|^rg^|^MMC^|^19970602^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189126^|^0^|^1^|^1^|^1^|^0^|^IND^|^1130541285^|^13013454^|^9123496^|^20170606^|^T12^|^T1235^|^T1236^|^T1237^|^30541255^|^82^|^1214611^|^82^|^82^|^132^|^20180405^|^20201230^|^1461200001309003249109397810606975^|^B^|^rg^|^MMC^|^19960722^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189127^|^0^|^1^|^1^|^0^|^0^|^ORG^|^1130541286^|^13013455^|^9123497^|^20161127^|^T12^|^T1235^|^T1236^|^T1237^|^30541256^|^83^|^1214612^|^83^|^83^|^133^|^20180803^|^20201230^|^1461200001309003249109397810606976^|^RG^|^rg^|^MMC^|^19930305^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189128^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541287^|^13013456^|^9123498^|^20161015^|^T12^|^T1235^|^T1236^|^T1237^|^30541257^|^84^|^1214613^|^84^|^84^|^134^|^20180709^|^20201230^|^1461200001309003249109397810606977^|^I^|^rg^|^MMC^|^20010420^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189129^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541288^|^13013457^|^9123499^|^20170314^|^T12^|^T1235^|^T1236^|^T1237^|^30541258^|^85^|^1214614^|^85^|^85^|^135^|^20180304^|^20201230^|^1461200001309003249109397810606978^|^I^|^rg^|^MMO^|^20111208^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189130^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541289^|^13013458^|^9123500^|^20160617^|^T12^|^T1235^|^T1236^|^T1237^|^30541259^|^86^|^1214615^|^86^|^86^|^136^|^20180620^|^20201230^|^1461200001309003249109397810606979^|^I^|^rg^|^MMO^|^20040810^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189131^|^1^|^1^|^0^|^1^|^0^|^IND^|^1130541290^|^13013459^|^9123501^|^20161026^|^T12^|^T1235^|^T1236^|^T1237^|^30541260^|^87^|^1214616^|^87^|^87^|^137^|^20180720^|^20201230^|^1461200001309003249109397810606980^|^I^|^rg^|^MMC^|^19840127^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189132^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541291^|^13013460^|^9123502^|^20161121^|^T12^|^T1235^|^T1236^|^T1237^|^30541261^|^88^|^1214617^|^88^|^88^|^138^|^20181205^|^20201230^|^1461200001309003249109397810606981^|^RG^|^rg^|^MMO^|^19900406^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189133^|^0^|^1^|^0^|^1^|^0^|^ORG^|^1130541292^|^13013461^|^9123503^|^20160619^|^T12^|^T1235^|^T1236^|^T1237^|^30541262^|^89^|^1214618^|^89^|^89^|^139^|^20180702^|^20201230^|^1461200001309003249109397810606982^|^I^|^rg^|^MMO^|^20040520^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189134^|^1^|^1^|^1^|^1^|^1^|^IND^|^1130541293^|^13013462^|^9123504^|^20170508^|^T12^|^T1235^|^T1236^|^T1237^|^30541263^|^90^|^1214619^|^90^|^90^|^140^|^20180718^|^20201230^|^1461200001309003249109397810606983^|^RG^|^rg^|^MMC^|^19990201^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189135^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541294^|^13013463^|^9123505^|^20170708^|^T12^|^T1235^|^T1236^|^T1237^|^30541264^|^91^|^1214620^|^91^|^91^|^141^|^20180520^|^20201230^|^1461200001309003249109397810606984^|^B^|^rg^|^MMO^|^20040613^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189136^|^0^|^1^|^0^|^0^|^1^|^ORG^|^1130541295^|^13013464^|^9123506^|^20160414^|^T12^|^T1235^|^T1236^|^T1237^|^30541265^|^92^|^1214621^|^92^|^92^|^142^|^20180215^|^20201230^|^1461200001309003249109397810606985^|^B^|^rg^|^MMC^|^19890117^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189137^|^0^|^0^|^0^|^1^|^1^|^IND^|^1130541296^|^13013465^|^9123507^|^20170325^|^T12^|^T1235^|^T1236^|^T1237^|^30541266^|^93^|^1214622^|^93^|^93^|^143^|^20180104^|^20201230^|^1461200001309003249109397810606986^|^B^|^rg^|^MMC^|^20030415^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189138^|^0^|^0^|^1^|^1^|^0^|^ORG^|^1130541297^|^13013466^|^9123508^|^20160502^|^T12^|^T1235^|^T1236^|^T1237^|^30541267^|^94^|^1214623^|^94^|^94^|^144^|^20180911^|^20201230^|^1461200001309003249109397810606987^|^RG^|^rg^|^MMO^|^20060524^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189139^|^1^|^1^|^1^|^1^|^0^|^IND^|^1130541298^|^13013467^|^9123509^|^20161220^|^T12^|^T1235^|^T1236^|^T1237^|^30541268^|^95^|^1214624^|^95^|^95^|^145^|^20180202^|^20201230^|^1461200001309003249109397810606988^|^I^|^rg^|^MMO^|^19860918^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189140^|^1^|^1^|^1^|^0^|^0^|^IND^|^1130541299^|^13013468^|^9123510^|^20160715^|^T12^|^T1235^|^T1236^|^T1237^|^30541269^|^96^|^1214625^|^96^|^96^|^146^|^20180717^|^20201230^|^1461200001309003249109397810606989^|^RG^|^rg^|^MMC^|^19941012^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189141^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541300^|^13013469^|^9123511^|^20161116^|^T12^|^T1235^|^T1236^|^T1237^|^30541270^|^97^|^1214626^|^97^|^97^|^147^|^20180504^|^20201230^|^1461200001309003249109397810606990^|^B^|^rg^|^MMC^|^19830614^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189142^|^1^|^0^|^1^|^1^|^0^|^ORG^|^1130541301^|^13013470^|^9123512^|^20160903^|^T12^|^T1235^|^T1236^|^T1237^|^30541271^|^98^|^1214627^|^98^|^98^|^148^|^20180411^|^20201230^|^1461200001309003249109397810606991^|^I^|^rg^|^MMC^|^20020109^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189143^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541302^|^13013471^|^9123513^|^20170428^|^T12^|^T1235^|^T1236^|^T1237^|^30541272^|^99^|^1214628^|^99^|^99^|^149^|^20180617^|^20201230^|^1461200001309003249109397810606992^|^I^|^rg^|^MMC^|^19980604^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189144^|^0^|^0^|^0^|^0^|^0^|^ORG^|^1130541303^|^13013472^|^9123514^|^20160905^|^T12^|^T1235^|^T1236^|^T1237^|^30541273^|^100^|^1214629^|^100^|^100^|^150^|^20180825^|^20201230^|^1461200001309003249109397810606993^|^RG^|^rg^|^MMC^|^19840811^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189145^|^1^|^1^|^0^|^0^|^0^|^ORG^|^1130541304^|^13013473^|^9123515^|^20160406^|^T12^|^T1235^|^T1236^|^T1237^|^30541274^|^101^|^1214630^|^101^|^101^|^151^|^20180430^|^20201230^|^1461200001309003249109397810606994^|^RG^|^rg^|^MMC^|^19851228^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189146^|^0^|^1^|^0^|^1^|^0^|^IND^|^1130541305^|^13013474^|^9123516^|^20160428^|^T12^|^T1235^|^T1236^|^T1237^|^30541275^|^102^|^1214631^|^102^|^102^|^152^|^20180321^|^20201230^|^1461200001309003249109397810606995^|^RG^|^rg^|^MMC^|^20041029^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189147^|^0^|^1^|^0^|^0^|^0^|^ORG^|^1130541306^|^13013475^|^9123517^|^20170720^|^T12^|^T1235^|^T1236^|^T1237^|^30541276^|^103^|^1214632^|^103^|^103^|^153^|^20180605^|^20201230^|^1461200001309003249109397810606996^|^I^|^rg^|^MMO^|^19820829^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189148^|^1^|^1^|^0^|^0^|^1^|^ORG^|^1130541307^|^13013476^|^9123518^|^20170115^|^T12^|^T1235^|^T1236^|^T1237^|^30541277^|^104^|^1214633^|^104^|^104^|^154^|^20180806^|^20201230^|^1461200001309003249109397810606997^|^RG^|^rg^|^MMO^|^19940508^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189149^|^0^|^1^|^1^|^1^|^0^|^ORG^|^1130541308^|^13013477^|^9123519^|^20170331^|^T12^|^T1235^|^T1236^|^T1237^|^30541278^|^105^|^1214634^|^105^|^105^|^155^|^20181026^|^20201230^|^1461200001309003249109397810606998^|^B^|^rg^|^MMC^|^20070617^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR^|^1
46189150^|^0^|^0^|^1^|^1^|^0^|^IND^|^1130541309^|^13013478^|^9123520^|^20161026^|^T12^|^T1235^|^T1236^|^T1237^|^30541279^|^106^|^1214635^|^106^|^106^|^156^|^20181210^|^20201230^|^1461200001309003249109397810606999^|^RG^|^rg^|^MMC^|^19950509^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189151^|^0^|^0^|^1^|^1^|^1^|^IND^|^1130541310^|^13013479^|^9123521^|^20161219^|^T12^|^T1235^|^T1236^|^T1237^|^30541280^|^107^|^1214636^|^107^|^107^|^157^|^20181005^|^20201230^|^1461200001309003249109397810607000^|^RG^|^rg^|^MMC^|^19860212^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189152^|^0^|^1^|^0^|^1^|^0^|^IND^|^1130541311^|^13013480^|^9123522^|^20161129^|^T12^|^T1235^|^T1236^|^T1237^|^30541281^|^108^|^1214637^|^108^|^108^|^158^|^20180831^|^20201230^|^1461200001309003249109397810607001^|^RG^|^rg^|^MMC^|^20110209^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189153^|^0^|^0^|^0^|^0^|^0^|^IND^|^1130541312^|^13013481^|^9123523^|^20170102^|^T12^|^T1235^|^T1236^|^T1237^|^30541282^|^109^|^1214638^|^109^|^109^|^159^|^20180723^|^20201230^|^1461200001309003249109397810607002^|^B^|^rg^|^MMC^|^19850415^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189154^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541313^|^13013482^|^9123524^|^20161117^|^T12^|^T1235^|^T1236^|^T1237^|^30541283^|^110^|^1214639^|^110^|^110^|^160^|^20181206^|^20201230^|^1461200001309003249109397810607003^|^I^|^rg^|^MMO^|^20011229^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189155^|^1^|^1^|^1^|^1^|^1^|^ORG^|^1130541314^|^13013483^|^9123525^|^20161009^|^T12^|^T1235^|^T1236^|^T1237^|^30541284^|^111^|^1214640^|^111^|^111^|^161^|^20180930^|^20201230^|^1461200001309003249109397810607004^|^RG^|^rg^|^MMC^|^19930903^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189156^|^0^|^0^|^1^|^0^|^0^|^ORG^|^1130541315^|^13013484^|^9123526^|^20170509^|^T12^|^T1235^|^T1236^|^T1237^|^30541285^|^112^|^1214641^|^112^|^112^|^162^|^20181201^|^20201230^|^1461200001309003249109397810607005^|^RG^|^rg^|^MMC^|^20100720^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189157^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541316^|^13013485^|^9123527^|^20170211^|^T12^|^T1235^|^T1236^|^T1237^|^30541286^|^113^|^1214642^|^113^|^113^|^163^|^20181217^|^20201230^|^1461200001309003249109397810607006^|^B^|^rg^|^MMO^|^19940108^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189158^|^0^|^1^|^0^|^1^|^1^|^ORG^|^1130541317^|^13013486^|^9123528^|^20161118^|^T12^|^T1235^|^T1236^|^T1237^|^30541287^|^114^|^1214643^|^114^|^114^|^164^|^20180701^|^20201230^|^1461200001309003249109397810607007^|^RG^|^rg^|^MMO^|^20031229^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
46189159^|^1^|^1^|^0^|^1^|^1^|^ORG^|^1130541318^|^13013487^|^9123529^|^20170607^|^T12^|^T1235^|^T1236^|^T1237^|^30541288^|^115^|^1214644^|^115^|^115^|^165^|^20180914^|^20201230^|^1461200001309003249109397810607008^|^RG^|^rg^|^MMC^|^20100715^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR^|^1
46189160^|^1^|^1^|^0^|^0^|^1^|^ORG^|^1130541319^|^13013488^|^9123530^|^20160617^|^T12^|^T1235^|^T1236^|^T1237^|^30541289^|^116^|^1214645^|^116^|^116^|^166^|^20180221^|^20201230^|^1461200001309003249109397810607009^|^I^|^rg^|^MMO^|^20040828^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR^|^1
46189161^|^1^|^1^|^1^|^1^|^1^|^IND^|^1130541320^|^13013489^|^9123531^|^20161011^|^T12^|^T1235^|^T1236^|^T1237^|^30541290^|^117^|^1214646^|^117^|^117^|^167^|^20180510^|^20201230^|^1461200001309003249109397810607010^|^I^|^rg^|^MMC^|^19940322^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
