customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^PARTITIONKEY^|^first_offer
82123610^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541260^|^13013260^|^9123471^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541260^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123611^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541261^|^13013261^|^9123472^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541261^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123612^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541262^|^13013262^|^9123473^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541262^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123613^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541263^|^13013263^|^9123474^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541263^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123614^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541264^|^13013264^|^9123475^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541264^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123615^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541265^|^13013265^|^9123476^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541265^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123616^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541266^|^13013266^|^9123477^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541266^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123617^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541267^|^13013267^|^9123478^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541267^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123618^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541268^|^13013268^|^9123479^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541268^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123619^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541269^|^13013269^|^9123480^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541269^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123620^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541270^|^13013270^|^9123481^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541270^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123621^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541271^|^13013271^|^9123482^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541271^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123622^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541272^|^13013272^|^9123483^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541272^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123623^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541273^|^13013273^|^9123484^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541273^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123624^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541274^|^13013274^|^9123485^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541274^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123625^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541275^|^13013275^|^9123486^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541275^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123626^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541276^|^13013276^|^9123487^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541276^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123627^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541277^|^13013277^|^9123488^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541277^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123628^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541278^|^13013278^|^9123489^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541278^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123629^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541279^|^13013279^|^9123490^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541279^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123630^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541280^|^13013280^|^9123491^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541280^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123631^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541281^|^13013281^|^9123492^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541281^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123632^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541282^|^13013282^|^9123493^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541282^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123633^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541283^|^13013283^|^9123494^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541283^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123634^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541284^|^13013284^|^9123495^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541284^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123635^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541285^|^13013285^|^9123496^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541285^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123636^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541286^|^13013286^|^9123497^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541286^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123637^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541287^|^13013287^|^9123498^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541287^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123638^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541288^|^13013288^|^9123499^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541288^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123639^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541289^|^13013289^|^9123500^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541289^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123640^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541290^|^13013290^|^9123501^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541290^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123641^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541291^|^13013291^|^9123502^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541291^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123642^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541292^|^13013292^|^9123503^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541292^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123643^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541293^|^13013293^|^9123504^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541293^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123644^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541294^|^13013294^|^9123505^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541294^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123645^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541295^|^13013295^|^9123506^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541295^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123646^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541296^|^13013296^|^9123507^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541296^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123647^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541297^|^13013297^|^9123508^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541297^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123648^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541298^|^13013298^|^9123509^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541298^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123649^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541299^|^13013299^|^9123510^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541299^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123650^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541300^|^13013300^|^9123511^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541300^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123651^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541301^|^13013301^|^9123512^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541301^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123652^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541302^|^13013302^|^9123513^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541302^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123653^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541303^|^13013303^|^9123514^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541303^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123654^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541304^|^13013304^|^9123515^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541304^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123655^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541305^|^13013305^|^9123516^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541305^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123656^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541306^|^13013306^|^9123517^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541306^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123657^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541307^|^13013307^|^9123518^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541307^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123658^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541308^|^13013308^|^9123519^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541308^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123659^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541309^|^13013309^|^9123520^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541309^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123660^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541310^|^13013310^|^9123521^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541310^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123661^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541311^|^13013311^|^9123522^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541311^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123662^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541312^|^13013312^|^9123523^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541312^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123663^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541313^|^13013313^|^9123524^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541313^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123664^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541314^|^13013314^|^9123525^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541314^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123665^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541315^|^13013315^|^9123526^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541315^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123666^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541316^|^13013316^|^9123527^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541316^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123667^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541317^|^13013317^|^9123528^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541317^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123668^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541318^|^13013318^|^9123529^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541318^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123669^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541319^|^13013319^|^9123530^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541319^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123670^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541320^|^13013320^|^9123531^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541320^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123671^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541321^|^13013321^|^9123532^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541321^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123672^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541322^|^13013322^|^9123533^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541322^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123673^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541323^|^13013323^|^9123534^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541323^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123674^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541324^|^13013324^|^9123535^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541324^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123675^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541325^|^13013325^|^9123536^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541325^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123676^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541326^|^13013326^|^9123537^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541326^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123677^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541327^|^13013327^|^9123538^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541327^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123678^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541328^|^13013328^|^9123539^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541328^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123679^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541329^|^13013329^|^9123540^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541329^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123680^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541330^|^13013330^|^9123541^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541330^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123681^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541331^|^13013331^|^9123542^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541331^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123682^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541332^|^13013332^|^9123543^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541332^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123683^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541333^|^13013333^|^9123544^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541333^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
