customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^partitionkey^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt
45189102^|^0^|^1^|^1^|^0^|^1^|^ORG^|^1130541261^|^13013430^|^9123472^|^20170210^|^T12^|^T1235^|^T1236^|^T1237^|^30541231^|^902856^|^1214587^|^38^|^52^|^108^|^20180923^|^20201230^|^1461200001309003249109397810606951^|^I^|^rg^|^MMO^|^19840404^|^53^|^fo^|^abc^|^98^|^fn^|^MMO
45189103^|^0^|^0^|^1^|^1^|^0^|^ORG^|^1130541262^|^13013431^|^9123473^|^20160426^|^T12^|^T1235^|^T1236^|^T1237^|^30541232^|^902857^|^1214588^|^39^|^53^|^109^|^20180826^|^20201230^|^1461200001309003249109397810606952^|^I^|^rg^|^MMO^|^19930614^|^54^|^fo^|^abc^|^98^|^fn^|^MMC
45189104^|^1^|^0^|^0^|^0^|^0^|^IND^|^1130541263^|^13013432^|^9123474^|^20160624^|^T12^|^T1235^|^T1236^|^T1237^|^30541233^|^902858^|^1214589^|^40^|^54^|^110^|^20180126^|^20201230^|^1461200001309003249109397810606953^|^B^|^rg^|^MMC^|^20090103^|^55^|^fo^|^abc^|^96^|^fn^|^MMC
45189105^|^0^|^1^|^0^|^0^|^1^|^IND^|^1130541264^|^13013433^|^9123475^|^20161206^|^T12^|^T1235^|^T1236^|^T1237^|^30541234^|^902859^|^1214590^|^41^|^55^|^111^|^20180916^|^20201230^|^1461200001309003249109397810606954^|^RG^|^rg^|^MMC^|^20040505^|^56^|^fo^|^adc^|^96^|^fn^|^MMO
45189106^|^0^|^1^|^0^|^0^|^0^|^ORG^|^1130541265^|^13013434^|^9123476^|^20170612^|^T12^|^T1235^|^T1236^|^T1237^|^30541235^|^902860^|^1214591^|^42^|^56^|^112^|^20180927^|^20201230^|^1461200001309003249109397810606955^|^B^|^rg^|^MMC^|^19880913^|^57^|^fo^|^abc^|^98^|^fn^|^MMO
45189107^|^1^|^0^|^0^|^1^|^0^|^ORG^|^1130541266^|^13013435^|^9123477^|^20160718^|^T12^|^T1235^|^T1236^|^T1237^|^30541236^|^902861^|^1214592^|^43^|^57^|^113^|^20180927^|^20201230^|^1461200001309003249109397810606956^|^RG^|^rg^|^MMC^|^19870705^|^58^|^fo^|^abc^|^98^|^fn^|^MMC
45189108^|^0^|^1^|^1^|^0^|^1^|^IND^|^1130541267^|^13013436^|^9123478^|^20160609^|^T12^|^T1235^|^T1236^|^T1237^|^30541237^|^902862^|^1214593^|^44^|^58^|^114^|^20180810^|^20201230^|^1461200001309003249109397810606957^|^I^|^rg^|^MMC^|^20081123^|^59^|^fo^|^abc^|^96^|^fn^|^MMO
45189109^|^1^|^1^|^1^|^0^|^1^|^IND^|^1130541268^|^13013437^|^9123479^|^20170410^|^T12^|^T1235^|^T1236^|^T1237^|^30541238^|^902863^|^1214594^|^45^|^59^|^115^|^20180321^|^20201230^|^1461200001309003249109397810606958^|^B^|^rg^|^MMO^|^19950914^|^60^|^fo^|^abc^|^96^|^fn^|^MMO
45189110^|^1^|^0^|^0^|^1^|^1^|^ORG^|^1130541269^|^13013438^|^9123480^|^20170328^|^T12^|^T1235^|^T1236^|^T1237^|^30541239^|^902864^|^1214595^|^46^|^60^|^116^|^20180114^|^20201230^|^1461200001309003249109397810606959^|^RG^|^rg^|^MMC^|^19821213^|^61^|^fo^|^adc^|^96^|^fn^|^MMC
45189111^|^1^|^1^|^1^|^1^|^0^|^IND^|^1130541270^|^13013439^|^9123481^|^20170621^|^T12^|^T1235^|^T1236^|^T1237^|^30541240^|^902865^|^1214596^|^47^|^61^|^117^|^20180424^|^20201230^|^1461200001309003249109397810606960^|^B^|^rg^|^MMO^|^19881209^|^62^|^fo^|^abc^|^98^|^fn^|^MMO
45189112^|^0^|^1^|^1^|^1^|^0^|^ORG^|^1130541271^|^13013440^|^9123482^|^20170615^|^T12^|^T1235^|^T1236^|^T1237^|^30541241^|^902866^|^1214597^|^48^|^62^|^118^|^20181206^|^20201230^|^1461200001309003249109397810606961^|^I^|^rg^|^MMO^|^19830504^|^63^|^fo^|^adc^|^96^|^fn^|^MMC
45189113^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541272^|^13013441^|^9123483^|^20160716^|^T12^|^T1235^|^T1236^|^T1237^|^30541242^|^902867^|^1214598^|^49^|^63^|^119^|^20180525^|^20201230^|^1461200001309003249109397810606962^|^B^|^rg^|^MMO^|^19940911^|^64^|^fo^|^abc^|^96^|^fn^|^MMC
45189114^|^1^|^0^|^0^|^1^|^1^|^IND^|^1130541273^|^13013442^|^9123484^|^20160810^|^T12^|^T1235^|^T1236^|^T1237^|^30541243^|^902868^|^1214599^|^50^|^64^|^120^|^20181001^|^20201230^|^1461200001309003249109397810606963^|^RG^|^rg^|^MMO^|^20080821^|^65^|^fo^|^adc^|^98^|^fn^|^MMO
45189115^|^1^|^0^|^1^|^0^|^0^|^IND^|^1130541274^|^13013443^|^9123485^|^20170121^|^T12^|^T1235^|^T1236^|^T1237^|^30541244^|^902869^|^1214600^|^51^|^65^|^121^|^20180908^|^20201230^|^1461200001309003249109397810606964^|^I^|^rg^|^MMC^|^19911207^|^66^|^fo^|^abc^|^96^|^fn^|^MMC
45189116^|^0^|^1^|^0^|^0^|^0^|^IND^|^1130541275^|^13013444^|^9123486^|^20170530^|^T12^|^T1235^|^T1236^|^T1237^|^30541245^|^902870^|^1214601^|^52^|^66^|^122^|^20181115^|^20201230^|^1461200001309003249109397810606965^|^RG^|^rg^|^MMO^|^19910220^|^67^|^fo^|^abc^|^96^|^fn^|^MMC
45189117^|^0^|^1^|^0^|^0^|^1^|^IND^|^1130541276^|^13013445^|^9123487^|^20160629^|^T12^|^T1235^|^T1236^|^T1237^|^30541246^|^902871^|^1214602^|^53^|^67^|^123^|^20180223^|^20201230^|^1461200001309003249109397810606966^|^RG^|^rg^|^MMC^|^19810815^|^68^|^fo^|^adc^|^98^|^fn^|^MMO
45189118^|^0^|^0^|^1^|^0^|^1^|^IND^|^1130541277^|^13013446^|^9123488^|^20160418^|^T12^|^T1235^|^T1236^|^T1237^|^30541247^|^902872^|^1214603^|^54^|^68^|^124^|^20180907^|^20201230^|^1461200001309003249109397810606967^|^RG^|^rg^|^MMC^|^20071107^|^69^|^fo^|^abc^|^98^|^fn^|^MMO
45189119^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541278^|^13013447^|^9123489^|^20160521^|^T12^|^T1235^|^T1236^|^T1237^|^30541248^|^902873^|^1214604^|^55^|^69^|^125^|^20180623^|^20201230^|^1461200001309003249109397810606968^|^RG^|^rg^|^MMC^|^19890821^|^70^|^fo^|^adc^|^96^|^fn^|^MMO
45189120^|^1^|^0^|^0^|^0^|^0^|^ORG^|^1130541279^|^13013448^|^9123490^|^20170104^|^T12^|^T1235^|^T1236^|^T1237^|^30541249^|^902874^|^1214605^|^56^|^70^|^126^|^20180820^|^20201230^|^1461200001309003249109397810606969^|^B^|^rg^|^MMO^|^19910608^|^71^|^fo^|^abc^|^96^|^fn^|^MMC
45189121^|^0^|^1^|^1^|^0^|^1^|^ORG^|^1130541280^|^13013449^|^9123491^|^20160910^|^T12^|^T1235^|^T1236^|^T1237^|^30541250^|^902875^|^1214606^|^57^|^71^|^127^|^20180507^|^20201230^|^1461200001309003249109397810606970^|^I^|^rg^|^MMO^|^20080103^|^72^|^fo^|^abc^|^96^|^fn^|^MMC
45189122^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541281^|^13013450^|^9123492^|^20160501^|^T12^|^T1235^|^T1236^|^T1237^|^30541251^|^902876^|^1214607^|^58^|^72^|^128^|^20180412^|^20201230^|^1461200001309003249109397810606971^|^RG^|^rg^|^MMC^|^19910110^|^73^|^fo^|^abc^|^98^|^fn^|^MMO
45189123^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541282^|^13013451^|^9123493^|^20160605^|^T12^|^T1235^|^T1236^|^T1237^|^30541252^|^902877^|^1214608^|^59^|^73^|^129^|^20180213^|^20201230^|^1461200001309003249109397810606972^|^B^|^rg^|^MMC^|^20100517^|^74^|^fo^|^adc^|^96^|^fn^|^MMC
45189124^|^0^|^0^|^1^|^1^|^0^|^IND^|^1130541283^|^13013452^|^9123494^|^20160512^|^T12^|^T1235^|^T1236^|^T1237^|^30541253^|^902878^|^1214609^|^60^|^74^|^130^|^20181127^|^20201230^|^1461200001309003249109397810606973^|^RG^|^rg^|^MMO^|^19990906^|^75^|^fo^|^abc^|^98^|^fn^|^MMC
45189125^|^0^|^1^|^1^|^1^|^0^|^ORG^|^1130541284^|^13013453^|^9123495^|^20160722^|^T12^|^T1235^|^T1236^|^T1237^|^30541254^|^902879^|^1214610^|^61^|^75^|^131^|^20180302^|^20201230^|^1461200001309003249109397810606974^|^RG^|^rg^|^MMO^|^19991010^|^76^|^fo^|^adc^|^96^|^fn^|^MMO
45189126^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541285^|^13013454^|^9123496^|^20170403^|^T12^|^T1235^|^T1236^|^T1237^|^30541255^|^902880^|^1214611^|^62^|^76^|^132^|^20181009^|^20201230^|^1461200001309003249109397810606975^|^RG^|^rg^|^MMO^|^19841120^|^77^|^fo^|^adc^|^96^|^fn^|^MMC
45189127^|^1^|^0^|^1^|^0^|^1^|^IND^|^1130541286^|^13013455^|^9123497^|^20161118^|^T12^|^T1235^|^T1236^|^T1237^|^30541256^|^902881^|^1214612^|^63^|^77^|^133^|^20180322^|^20201230^|^1461200001309003249109397810606976^|^B^|^rg^|^MMC^|^20020820^|^78^|^fo^|^abc^|^96^|^fn^|^MMC
45189128^|^1^|^0^|^1^|^1^|^0^|^ORG^|^1130541287^|^13013456^|^9123498^|^20170325^|^T12^|^T1235^|^T1236^|^T1237^|^30541257^|^902882^|^1214613^|^64^|^78^|^134^|^20181026^|^20201230^|^1461200001309003249109397810606977^|^RG^|^rg^|^MMC^|^19850318^|^79^|^fo^|^adc^|^98^|^fn^|^MMC
45189129^|^1^|^1^|^1^|^0^|^0^|^IND^|^1130541288^|^13013457^|^9123499^|^20170115^|^T12^|^T1235^|^T1236^|^T1237^|^30541258^|^902883^|^1214614^|^65^|^79^|^135^|^20181124^|^20201230^|^1461200001309003249109397810606978^|^B^|^rg^|^MMC^|^19940501^|^80^|^fo^|^adc^|^96^|^fn^|^MMC
45189130^|^0^|^0^|^1^|^1^|^0^|^IND^|^1130541289^|^13013458^|^9123500^|^20160521^|^T12^|^T1235^|^T1236^|^T1237^|^30541259^|^902884^|^1214615^|^66^|^80^|^136^|^20180920^|^20201230^|^1461200001309003249109397810606979^|^RG^|^rg^|^MMO^|^19990626^|^81^|^fo^|^adc^|^98^|^fn^|^MMC
45189131^|^1^|^1^|^0^|^0^|^1^|^IND^|^1130541290^|^13013459^|^9123501^|^20170605^|^T12^|^T1235^|^T1236^|^T1237^|^30541260^|^902885^|^1214616^|^67^|^81^|^137^|^20181020^|^20201230^|^1461200001309003249109397810606980^|^B^|^rg^|^MMC^|^19810120^|^82^|^fo^|^abc^|^98^|^fn^|^MMO
45189132^|^1^|^0^|^0^|^1^|^0^|^IND^|^1130541291^|^13013460^|^9123502^|^20170315^|^T12^|^T1235^|^T1236^|^T1237^|^30541261^|^902886^|^1214617^|^68^|^82^|^138^|^20180111^|^20201230^|^1461200001309003249109397810606981^|^I^|^rg^|^MMC^|^19970617^|^83^|^fo^|^abc^|^96^|^fn^|^MMO
45189133^|^0^|^0^|^1^|^0^|^1^|^IND^|^1130541292^|^13013461^|^9123503^|^20161116^|^T12^|^T1235^|^T1236^|^T1237^|^30541262^|^902887^|^1214618^|^69^|^83^|^139^|^20180608^|^20201230^|^1461200001309003249109397810606982^|^RG^|^rg^|^MMO^|^19911224^|^84^|^fo^|^abc^|^96^|^fn^|^MMC
45189134^|^1^|^1^|^0^|^0^|^0^|^ORG^|^1130541293^|^13013462^|^9123504^|^20170302^|^T12^|^T1235^|^T1236^|^T1237^|^30541263^|^902888^|^1214619^|^70^|^84^|^140^|^20180226^|^20201230^|^1461200001309003249109397810606983^|^B^|^rg^|^MMO^|^19950413^|^85^|^fo^|^abc^|^98^|^fn^|^MMC
45189135^|^0^|^1^|^1^|^0^|^1^|^IND^|^1130541294^|^13013463^|^9123505^|^20160622^|^T12^|^T1235^|^T1236^|^T1237^|^30541264^|^902889^|^1214620^|^71^|^85^|^141^|^20181009^|^20201230^|^1461200001309003249109397810606984^|^B^|^rg^|^MMC^|^20090104^|^86^|^fo^|^adc^|^96^|^fn^|^MMO
45189136^|^0^|^1^|^1^|^0^|^0^|^ORG^|^1130541295^|^13013464^|^9123506^|^20170120^|^T12^|^T1235^|^T1236^|^T1237^|^30541265^|^902890^|^1214621^|^72^|^86^|^142^|^20180917^|^20201230^|^1461200001309003249109397810606985^|^B^|^rg^|^MMO^|^20051009^|^87^|^fo^|^abc^|^98^|^fn^|^MMC
45189137^|^1^|^1^|^0^|^1^|^1^|^ORG^|^1130541296^|^13013465^|^9123507^|^20160527^|^T12^|^T1235^|^T1236^|^T1237^|^30541266^|^902891^|^1214622^|^73^|^87^|^143^|^20181214^|^20201230^|^1461200001309003249109397810606986^|^RG^|^rg^|^MMC^|^20020627^|^88^|^fo^|^abc^|^98^|^fn^|^MMO
45189138^|^1^|^0^|^0^|^1^|^0^|^IND^|^1130541297^|^13013466^|^9123508^|^20170624^|^T12^|^T1235^|^T1236^|^T1237^|^30541267^|^902892^|^1214623^|^74^|^88^|^144^|^20180618^|^20201230^|^1461200001309003249109397810606987^|^RG^|^rg^|^MMC^|^19970922^|^89^|^fo^|^abc^|^96^|^fn^|^MMC
45189139^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541298^|^13013467^|^9123509^|^20160714^|^T12^|^T1235^|^T1236^|^T1237^|^30541268^|^902893^|^1214624^|^75^|^89^|^145^|^20180811^|^20201230^|^1461200001309003249109397810606988^|^B^|^rg^|^MMC^|^19900511^|^90^|^fo^|^abc^|^98^|^fn^|^MMO
45189140^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541299^|^13013468^|^9123510^|^20170106^|^T12^|^T1235^|^T1236^|^T1237^|^30541269^|^902894^|^1214625^|^76^|^90^|^146^|^20180404^|^20201230^|^1461200001309003249109397810606989^|^RG^|^rg^|^MMC^|^20030412^|^91^|^fo^|^adc^|^96^|^fn^|^MMO
45189141^|^0^|^1^|^1^|^1^|^1^|^IND^|^1130541300^|^13013469^|^9123511^|^20160402^|^T12^|^T1235^|^T1236^|^T1237^|^30541270^|^902895^|^1214626^|^77^|^91^|^147^|^20180228^|^20201230^|^1461200001309003249109397810606990^|^RG^|^rg^|^MMO^|^20000321^|^92^|^fo^|^abc^|^98^|^fn^|^MMC
45189142^|^1^|^1^|^0^|^0^|^1^|^ORG^|^1130541301^|^13013470^|^9123512^|^20160714^|^T12^|^T1235^|^T1236^|^T1237^|^30541271^|^902896^|^1214627^|^78^|^92^|^148^|^20180923^|^20201230^|^1461200001309003249109397810606991^|^RG^|^rg^|^MMO^|^20090526^|^93^|^fo^|^abc^|^96^|^fn^|^MMO
45189143^|^1^|^1^|^1^|^0^|^1^|^ORG^|^1130541302^|^13013471^|^9123513^|^20160407^|^T12^|^T1235^|^T1236^|^T1237^|^30541272^|^902897^|^1214628^|^79^|^93^|^149^|^20180915^|^20201230^|^1461200001309003249109397810606992^|^B^|^rg^|^MMC^|^20000229^|^94^|^fo^|^adc^|^98^|^fn^|^MMO
45189144^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541303^|^13013472^|^9123514^|^20160811^|^T12^|^T1235^|^T1236^|^T1237^|^30541273^|^902898^|^1214629^|^80^|^94^|^150^|^20180404^|^20201230^|^1461200001309003249109397810606993^|^RG^|^rg^|^MMC^|^19870928^|^95^|^fo^|^abc^|^98^|^fn^|^MMC
45189145^|^0^|^1^|^0^|^1^|^0^|^IND^|^1130541304^|^13013473^|^9123515^|^20160518^|^T12^|^T1235^|^T1236^|^T1237^|^30541274^|^902899^|^1214630^|^81^|^95^|^151^|^20181101^|^20201230^|^1461200001309003249109397810606994^|^I^|^rg^|^MMO^|^19871119^|^96^|^fo^|^abc^|^98^|^fn^|^MMO
45189146^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541305^|^13013474^|^9123516^|^20170205^|^T12^|^T1235^|^T1236^|^T1237^|^30541275^|^902900^|^1214631^|^82^|^96^|^152^|^20180412^|^20201230^|^1461200001309003249109397810606995^|^B^|^rg^|^MMC^|^19940220^|^97^|^fo^|^adc^|^98^|^fn^|^MMO
45189147^|^1^|^0^|^0^|^0^|^0^|^IND^|^1130541306^|^13013475^|^9123517^|^20170530^|^T12^|^T1235^|^T1236^|^T1237^|^30541276^|^902901^|^1214632^|^83^|^97^|^153^|^20181215^|^20201230^|^1461200001309003249109397810606996^|^RG^|^rg^|^MMO^|^20000701^|^98^|^fo^|^adc^|^98^|^fn^|^MMC
45189148^|^0^|^1^|^0^|^1^|^0^|^ORG^|^1130541307^|^13013476^|^9123518^|^20170408^|^T12^|^T1235^|^T1236^|^T1237^|^30541277^|^902902^|^1214633^|^84^|^98^|^154^|^20180927^|^20201230^|^1461200001309003249109397810606997^|^RG^|^rg^|^MMO^|^20111120^|^99^|^fo^|^abc^|^96^|^fn^|^MMC
45189149^|^0^|^1^|^0^|^1^|^1^|^ORG^|^1130541308^|^13013477^|^9123519^|^20161002^|^T12^|^T1235^|^T1236^|^T1237^|^30541278^|^902903^|^1214634^|^85^|^99^|^155^|^20180418^|^20201230^|^1461200001309003249109397810606998^|^RG^|^rg^|^MMC^|^20041030^|^100^|^fo^|^adc^|^96^|^fn^|^MMO
45189150^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541309^|^13013478^|^9123520^|^20161018^|^T12^|^T1235^|^T1236^|^T1237^|^30541279^|^902904^|^1214635^|^86^|^100^|^156^|^20181117^|^20201230^|^1461200001309003249109397810606999^|^B^|^rg^|^MMO^|^19890101^|^101^|^fo^|^adc^|^98^|^fn^|^MMO
45189151^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541310^|^13013479^|^9123521^|^20160612^|^T12^|^T1235^|^T1236^|^T1237^|^30541280^|^902905^|^1214636^|^87^|^101^|^157^|^20180412^|^20201230^|^1461200001309003249109397810607000^|^I^|^rg^|^MMO^|^19841117^|^102^|^fo^|^abc^|^96^|^fn^|^MMC
45189152^|^0^|^1^|^0^|^1^|^1^|^ORG^|^1130541311^|^13013480^|^9123522^|^20160926^|^T12^|^T1235^|^T1236^|^T1237^|^30541281^|^902906^|^1214637^|^88^|^102^|^158^|^20180222^|^20201230^|^1461200001309003249109397810607001^|^RG^|^rg^|^MMC^|^19830821^|^103^|^fo^|^adc^|^98^|^fn^|^MMO
45189153^|^0^|^1^|^0^|^0^|^1^|^IND^|^1130541312^|^13013481^|^9123523^|^20160615^|^T12^|^T1235^|^T1236^|^T1237^|^30541282^|^902907^|^1214638^|^89^|^103^|^159^|^20180927^|^20201230^|^1461200001309003249109397810607002^|^B^|^rg^|^MMC^|^20021031^|^104^|^fo^|^abc^|^98^|^fn^|^MMO
45189154^|^1^|^0^|^1^|^0^|^0^|^IND^|^1130541313^|^13013482^|^9123524^|^20161229^|^T12^|^T1235^|^T1236^|^T1237^|^30541283^|^902908^|^1214639^|^90^|^104^|^160^|^20180923^|^20201230^|^1461200001309003249109397810607003^|^I^|^rg^|^MMC^|^19950410^|^105^|^fo^|^adc^|^96^|^fn^|^MMO
45189155^|^1^|^1^|^1^|^1^|^0^|^IND^|^1130541314^|^13013483^|^9123525^|^20170516^|^T12^|^T1235^|^T1236^|^T1237^|^30541284^|^902909^|^1214640^|^91^|^105^|^161^|^20180716^|^20201230^|^1461200001309003249109397810607004^|^RG^|^rg^|^MMC^|^19850219^|^106^|^fo^|^adc^|^98^|^fn^|^MMO
45189156^|^0^|^1^|^0^|^0^|^1^|^ORG^|^1130541315^|^13013484^|^9123526^|^20170422^|^T12^|^T1235^|^T1236^|^T1237^|^30541285^|^902910^|^1214641^|^92^|^106^|^162^|^20181001^|^20201230^|^1461200001309003249109397810607005^|^I^|^rg^|^MMO^|^19890716^|^107^|^fo^|^adc^|^98^|^fn^|^MMC
45189157^|^0^|^0^|^0^|^1^|^1^|^ORG^|^1130541316^|^13013485^|^9123527^|^20170427^|^T12^|^T1235^|^T1236^|^T1237^|^30541286^|^902911^|^1214642^|^93^|^107^|^163^|^20181030^|^20201230^|^1461200001309003249109397810607006^|^B^|^rg^|^MMO^|^20010318^|^108^|^fo^|^abc^|^96^|^fn^|^MMO
45189158^|^0^|^1^|^1^|^1^|^1^|^IND^|^1130541317^|^13013486^|^9123528^|^20170408^|^T12^|^T1235^|^T1236^|^T1237^|^30541287^|^902912^|^1214643^|^94^|^108^|^164^|^20180928^|^20201230^|^1461200001309003249109397810607007^|^I^|^rg^|^MMC^|^19920314^|^109^|^fo^|^adc^|^98^|^fn^|^MMC
45189159^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541318^|^13013487^|^9123529^|^20160704^|^T12^|^T1235^|^T1236^|^T1237^|^30541288^|^902913^|^1214644^|^95^|^109^|^165^|^20180816^|^20201230^|^1461200001309003249109397810607008^|^I^|^rg^|^MMO^|^19880818^|^110^|^fo^|^adc^|^98^|^fn^|^MMC
45189160^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541319^|^13013488^|^9123530^|^20160514^|^T12^|^T1235^|^T1236^|^T1237^|^30541289^|^902914^|^1214645^|^96^|^110^|^166^|^20180328^|^20201230^|^1461200001309003249109397810607009^|^I^|^rg^|^MMO^|^19880902^|^111^|^fo^|^abc^|^98^|^fn^|^MMC
45189161^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541320^|^13013489^|^9123531^|^20170620^|^T12^|^T1235^|^T1236^|^T1237^|^30541290^|^902915^|^1214646^|^97^|^111^|^167^|^20180221^|^20201230^|^1461200001309003249109397810607010^|^RG^|^rg^|^MMO^|^19830125^|^112^|^fo^|^adc^|^98^|^fn^|^MMO
45189162^|^1^|^0^|^1^|^1^|^1^|^IND^|^1130541321^|^13013490^|^9123532^|^20170618^|^T12^|^T1235^|^T1236^|^T1237^|^30541291^|^902916^|^1214647^|^98^|^112^|^168^|^20180527^|^20201230^|^1461200001309003249109397810607011^|^I^|^rg^|^MMC^|^19890812^|^113^|^fo^|^adc^|^96^|^fn^|^MMO
